scenario,vaccine_cov,total_clin_cases_averted_thousands,total_sev_cases_averted_thousands,total_deaths_averted_thousands,clin_cases_averted_per_1000_doses,num_countries,country_list
Maintain 2016,Realistic coverage,2461 (1658-3582),58 (28-90),10 (5-15),246,15,"BEN, BFA, CAF, CIV, CMR, COD, GHA, MOZ, MWI, NGA, SLE, TCD, TGO, UGA, ZMB"
Maintain 2016,Realistic coverage,4091 (2736-6166),102 (50-161),17 (9-27),205,21,"BEN, BFA, CAF, CIV, CMR, COD, COG, GHA, GIN, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, UGA, ZMB"
Maintain 2016,Realistic coverage,5328 (3502-8162),143 (70-225),24 (12-38),178,21,"BEN, BFA, CAF, CIV, CMR, COD, COG, GHA, GIN, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, UGA, ZMB"
Maintain 2016,Realistic coverage,6350 (4111-9800),179 (87-281),31 (15-48),159,23,"BDI, BEN, BFA, CAF, CIV, CMR, COD, COG, GHA, GIN, GNQ, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, UGA, ZMB"
Maintain 2016,Realistic coverage,7160 (4582-11213),211 (101-331),36 (17-56),143,25,"BDI, BEN, BFA, CAF, CIV, CMR, COD, COG, GAB, GHA, GIN, GNQ, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, TZA, UGA, ZMB"
Maintain 2016,Realistic coverage,7788 (4917-12373),240 (114-380),41 (19-64),130,25,"BDI, BEN, BFA, CAF, CIV, CMR, COD, COG, GAB, GHA, GIN, GNQ, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, TZA, UGA, ZMB"
Maintain 2016,100% coverage,3543 (2504-5025),72 (36-121),12 (6-20),354,12,"BFA, CAF, CIV, COD, GHA, GIN, GNQ, MOZ, MWI, NGA, TGO, ZMB"
Maintain 2016,100% coverage,5962 (4208-8652),138 (70-219),23 (12-37),298,20,"BEN, BFA, CAF, CIV, CMR, COD, GHA, GIN, GNQ, KEN, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, UGA, ZMB"
Maintain 2016,100% coverage,7958 (5589-11819),199 (102-310),34 (17-52),265,22,"BEN, BFA, CAF, CIV, CMR, COD, COG, GHA, GIN, GNQ, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, UGA, ZMB"
Maintain 2016,100% coverage,9542 (6618-14397),256 (131-395),43 (22-67),239,22,"BEN, BFA, CAF, CIV, CMR, COD, COG, GHA, GIN, GNQ, KEN, LBR, MLI, MOZ, MWI, NER, NGA, SLE, TCD, TGO, UGA, ZMB"
