scenario,vaccine_cov,total_clin_cases_averted_thousands,total_sev_cases_averted_thousands,total_deaths_averted_thousands,clin_cases_averted_per_1000_doses,num_countries,country_list
Maintain 2016,Realistic coverage,1086 (694-1777),34 (16-58),6 (3-10),105,3,"GHA, MWI, KEN"
Maintain 2016,Realistic coverage,3220 (2113-4905),86 (41-139),14 (7-23),161,15,"BFA, MOZ, ZMB, SLE, TGO, CIV, COD, CMR, BEN, NGA, UGA, CAF, GHA, MWI, KEN"
Maintain 2016,Realistic coverage,4784 (3147-7405),130 (63-209),22 (11-35),159,21,"BFA, MOZ, ZMB, SLE, TGO, CIV, COD, CMR, BEN, NGA, UGA, NER, GIN, CAF, MLI, LBR, COG, TCD, GHA, MWI, KEN"
Maintain 2016,Realistic coverage,5944 (3843-9220),167 (80-266),28 (14-45),149,20,"BFA, MOZ, ZMB, SLE, TGO, CIV, COD, CMR, BEN, NGA, UGA, NER, GIN, CAF, MLI, LBR, COG, GHA, MWI, KEN"
Maintain 2016,Realistic coverage,6881 (4401-10786),202 (97-321),34 (16-55),138,22,"BFA, MOZ, ZMB, SLE, TGO, CIV, COD, CMR, BEN, NGA, UGA, NER, GIN, CAF, MLI, LBR, COG, BDI, TZA, GHA, MWI, KEN"
Maintain 2016,Realistic coverage,7594 (4803-12058),231 (110-368),39 (19-62),127,24,"BFA, MOZ, ZMB, SLE, TGO, CIV, COD, CMR, BEN, NGA, UGA, NER, GIN, CAF, MLI, LBR, COG, BDI, TZA, GNQ, TCD, GHA, MWI, KEN"
Maintain 2016,100% coverage,1204 (772-1963),39 (18-65),6 (3-11),116,3,"GHA, KEN, MWI"
Maintain 2016,100% coverage,4516 (3117-6667),108 (52-181),18 (9-30),226,15,"NGA, GIN, MOZ, BFA, CAF, ZMB, TGO, COD, CIV, SLE, GNQ, TCD, GHA, KEN, MWI"
Maintain 2016,100% coverage,6871 (4778-10254),173 (87-277),29 (15-47),229,21,"NGA, GIN, MOZ, BFA, CAF, ZMB, TGO, COD, CIV, SLE, GNQ, MLI, CMR, NER, BEN, UGA, COG, TCD, GHA, KEN, MWI"
Maintain 2016,100% coverage,8799 (6099-13307),234 (118-368),39 (20-62),220,22,"NGA, GIN, MOZ, BFA, CAF, ZMB, TGO, COD, CIV, SLE, GNQ, MLI, CMR, NER, BEN, UGA, COG, LBR, TCD, GHA, KEN, MWI"
Maintain 2016,100% coverage,10294 (7062-15763),289 (146-450),49 (25-76),206,23,"NGA, GIN, MOZ, BFA, CAF, ZMB, TGO, COD, CIV, SLE, GNQ, MLI, CMR, NER, BEN, UGA, COG, LBR, SSD, TCD, GHA, KEN, MWI"
Maintain 2016,100% coverage,11434 (7754-17739),337 (169-526),57 (28-89),191,26,"NGA, GIN, MOZ, BFA, CAF, ZMB, TGO, COD, CIV, SLE, GNQ, MLI, CMR, NER, BEN, UGA, COG, LBR, SSD, BDI, AGO, GAB, TCD, GHA, KEN, MWI"
High,Realistic coverage,918 (594-1557),29 (14-52),4 (2-7),89,3,"GHA, KEN, MWI"
High,Realistic coverage,2803 (1897-4430),79 (39-129),10 (5-17),140,16,"MOZ, BFA, ZMB, TGO, SLE, UGA, COD, CIV, GIN, LBR, BEN, CAF, TCD, GHA, KEN, MWI"
High,Realistic coverage,4074 (2672-6468),118 (57-190),15 (7-25),136,19,"MOZ, BFA, ZMB, TGO, SLE, UGA, COD, CIV, GIN, LBR, BEN, MLI, NGA, NER, CAF, TCD, GHA, KEN, MWI"
High,Realistic coverage,4946 (3167-7999),151 (72-244),19 (9-31),124,21,"MOZ, BFA, ZMB, TGO, SLE, UGA, COD, CIV, GIN, LBR, BEN, MLI, NGA, NER, CAF, CMR, BDI, TCD, GHA, KEN, MWI"
High,Realistic coverage,5551 (3467-9115),177 (84-288),23 (11-37),111,22,"MOZ, BFA, ZMB, TGO, SLE, UGA, COD, CIV, GIN, LBR, BEN, MLI, NGA, NER, CAF, CMR, BDI, COG, TCD, GHA, KEN, MWI"
High,Realistic coverage,5990 (3670-10004),199 (93-326),26 (12-42),100,23,"MOZ, BFA, ZMB, TGO, SLE, UGA, COD, CIV, GIN, LBR, BEN, MLI, NGA, NER, CAF, CMR, BDI, COG, GNQ, TCD, GHA, KEN, MWI"
High,100% coverage,1009 (650-1708),33 (16-58),4 (2-7),97,3,"GHA, KEN, MWI"
High,100% coverage,3731 (2529-5622),96 (48-157),12 (6-20),187,15,"GIN, MOZ, BFA, NGA, ZMB, CAF, SLE, CIV, COD, TGO, UGA, TCD, GHA, KEN, MWI"
High,100% coverage,5612 (3804-8620),154 (77-245),20 (10-32),187,18,"GIN, MOZ, BFA, NGA, ZMB, CAF, SLE, CIV, COD, TGO, UGA, MLI, BEN, LBR, TCD, GHA, KEN, MWI"
High,100% coverage,7018 (4670-10930),206 (103-324),27 (13-42),175,21,"GIN, MOZ, BFA, NGA, ZMB, CAF, SLE, CIV, COD, TGO, UGA, MLI, BEN, LBR, NER, CMR, GNQ, TCD, GHA, KEN, MWI"
High,100% coverage,8078 (5303-12836),251 (125-395),32 (16-51),162,23,"GIN, MOZ, BFA, NGA, ZMB, CAF, SLE, CIV, COD, TGO, UGA, MLI, BEN, LBR, NER, CMR, GNQ, BDI, COG, TCD, GHA, KEN, MWI"
High,100% coverage,8771 (5669-14196),286 (141-455),37 (18-59),146,24,"GIN, MOZ, BFA, NGA, ZMB, CAF, SLE, CIV, COD, TGO, UGA, MLI, BEN, LBR, NER, CMR, GNQ, BDI, COG, SSD, TCD, GHA, KEN, MWI"
