DIDE_CODE,vaccine_type,vaccine_scenario,clin_cases_averted_upper,clin_cases_averted_lower,sev_cases_averted_upper,sev_cases_averted_lower,deaths_averted_upper,deaths_averted_lower,num_vacc_doses_upper,num_vacc_doses_lower,ISO
100035,3_dose,reduced_coverage,4039,616,190,34,32,6,65422,62788,AGO
100035,4_dose,reduced_coverage_lower,4559,809,226,48,39,8,82516,79902,AGO
100035,4_dose,reduced_coverage,4701,828,231,44,39,8,82516,79902,AGO
100035,4_dose,reduced_coverage_upper,4937,942,240,50,41,9,82516,79902,AGO
100035,3_dose,full_coverage,6963,1565,331,80,56,14,65422,62788,AGO
100035,4_dose,full_coverage,9203,2113,441,108,75,18,82516,79902,AGO
100036,3_dose,reduced_coverage,9965,532,594,35,101,6,321818,308742,AGO
100036,4_dose,reduced_coverage_lower,11203,764,697,45,119,8,406322,393426,AGO
100036,4_dose,reduced_coverage,12519,1100,729,62,124,11,406322,393426,AGO
100036,4_dose,reduced_coverage_upper,13208,1131,763,83,130,14,406322,393426,AGO
100036,3_dose,full_coverage,18290,2315,1068,154,182,26,321818,308742,AGO
100036,4_dose,full_coverage,23440,2959,1372,203,234,35,406322,393426,AGO
100037,3_dose,reduced_coverage,27768,7255,1026,247,175,42,211004,201361,AGO
100037,4_dose,reduced_coverage_lower,31937,10138,1107,317,189,54,266069,256290,AGO
100037,4_dose,reduced_coverage,33784,10903,1180,329,201,56,266069,256290,AGO
100037,4_dose,reduced_coverage_upper,35845,11028,1233,346,210,59,266069,256290,AGO
100037,3_dose,full_coverage,48530,16894,1692,528,289,90,211004,201361,AGO
100037,4_dose,full_coverage,64377,22367,2142,675,365,115,266069,256290,AGO
100038,3_dose,reduced_coverage,7104,1740,304,63,52,11,81098,77758,AGO
100038,4_dose,reduced_coverage_lower,8328,2171,350,83,60,14,102371,98844,AGO
100038,4_dose,reduced_coverage,8474,2311,362,91,62,16,102371,98844,AGO
100038,4_dose,reduced_coverage_upper,9023,2513,374,92,64,16,102371,98844,AGO
100038,3_dose,full_coverage,12774,3679,534,146,91,25,81098,77758,AGO
100038,4_dose,full_coverage,16448,5018,673,192,115,33,102371,98844,AGO
100039,3_dose,reduced_coverage,9284,2659,342,77,58,13,73089,69917,AGO
100039,4_dose,reduced_coverage_lower,10656,3236,389,99,66,17,92188,88828,AGO
100039,4_dose,reduced_coverage,11409,3641,394,105,67,18,92188,88828,AGO
100039,4_dose,reduced_coverage_upper,12010,3822,420,112,72,19,92188,88828,AGO
100039,3_dose,full_coverage,16692,5863,579,182,99,31,73089,69917,AGO
100039,4_dose,full_coverage,21632,7885,756,228,129,39,92188,88828,AGO
100040,3_dose,reduced_coverage,9262,2608,307,75,52,13,70516,67188,AGO
100040,4_dose,reduced_coverage_lower,10628,3328,355,95,61,16,88801,85384,AGO
100040,4_dose,reduced_coverage,11070,3449,370,103,63,18,88801,85384,AGO
100040,4_dose,reduced_coverage_upper,11212,3743,383,115,65,20,88801,85384,AGO
100040,3_dose,full_coverage,16211,5747,564,165,96,28,70516,67188,AGO
100040,4_dose,full_coverage,21728,7614,704,222,120,38,88801,85384,AGO
100041,3_dose,reduced_coverage,26718,6120,989,233,169,40,243393,232978,AGO
100041,4_dose,reduced_coverage_lower,31458,8525,1124,306,192,52,307372,296599,AGO
100041,4_dose,reduced_coverage,32308,8470,1189,325,203,55,307372,296599,AGO
100041,4_dose,reduced_coverage_upper,34744,9698,1210,330,206,56,307372,296599,AGO
100041,3_dose,full_coverage,48589,14789,1731,521,295,89,243393,232978,AGO
100041,4_dose,full_coverage,62927,20780,2252,673,384,115,307372,296599,AGO
100042,3_dose,reduced_coverage,6112,932,307,50,52,9,118823,113891,AGO
100042,4_dose,reduced_coverage_lower,6899,1227,361,68,61,12,149692,144837,AGO
100042,4_dose,reduced_coverage,7263,1194,372,68,63,12,149692,144837,AGO
100042,4_dose,reduced_coverage_upper,7571,1375,365,82,62,14,149692,144837,AGO
100042,3_dose,full_coverage,10752,2131,541,123,92,21,118823,113891,AGO
100042,4_dose,full_coverage,14059,2985,705,163,120,28,149692,144837,AGO
100043,3_dose,reduced_coverage,8363,60,520,5,89,1,299948,288710,AGO
100043,4_dose,reduced_coverage_lower,9856,346,601,26,102,4,378632,366914,AGO
100043,4_dose,reduced_coverage,10038,537,641,31,109,5,378632,366914,AGO
100043,4_dose,reduced_coverage_upper,10412,408,651,32,111,5,378632,366914,AGO
100043,3_dose,full_coverage,14791,1308,885,80,151,14,299948,288710,AGO
100043,4_dose,full_coverage,18670,1743,1130,129,193,22,378632,366914,AGO
100044,3_dose,reduced_coverage,11612,756,700,40,119,7,386235,371818,AGO
100044,4_dose,reduced_coverage_lower,12785,965,777,60,132,10,487111,473096,AGO
100044,4_dose,reduced_coverage,13695,1076,870,66,148,11,487111,473096,AGO
100044,4_dose,reduced_coverage_upper,14465,1146,912,70,155,12,487111,473096,AGO
100044,3_dose,full_coverage,20247,2244,1189,165,203,28,386235,371818,AGO
100044,4_dose,full_coverage,26095,3291,1584,225,270,38,487111,473096,AGO
100045,3_dose,reduced_coverage,24767,1091,1603,78,273,13,930306,894643,AGO
100045,4_dose,reduced_coverage_lower,28308,2237,1672,126,285,22,1174385,1136889,AGO
100045,4_dose,reduced_coverage,29941,2500,1844,151,315,26,1174385,1136889,AGO
100045,4_dose,reduced_coverage_upper,32451,2343,1958,180,334,31,1174385,1136889,AGO
100045,3_dose,full_coverage,45693,4822,2811,353,479,60,930306,894643,AGO
100045,4_dose,full_coverage,58005,5857,3505,434,598,74,1174385,1136889,AGO
100046,3_dose,reduced_coverage,11264,2517,507,104,86,18,142479,136476,AGO
100046,4_dose,reduced_coverage_lower,13078,3169,573,142,98,24,179834,173242,AGO
100046,4_dose,reduced_coverage,14088,3534,595,147,101,25,179834,173242,AGO
100046,4_dose,reduced_coverage_upper,14320,3782,623,161,106,28,179834,173242,AGO
100046,3_dose,full_coverage,20149,5651,865,235,148,40,142479,136476,AGO
100046,4_dose,full_coverage,26615,7599,1107,308,189,53,179834,173242,AGO
100047,3_dose,reduced_coverage,4417,802,206,35,35,6,70179,67398,AGO
100047,4_dose,reduced_coverage_lower,5182,1089,249,52,42,9,88649,85659,AGO
100047,4_dose,reduced_coverage,5503,999,254,48,43,8,88649,85659,AGO
100047,4_dose,reduced_coverage_upper,5728,1120,278,56,47,10,88649,85659,AGO
100047,3_dose,full_coverage,7944,1818,371,91,63,16,70179,67398,AGO
100047,4_dose,full_coverage,10457,2540,488,120,83,20,88649,85659,AGO
100048,3_dose,reduced_coverage,12066,3121,514,123,88,21,139350,133722,AGO
100048,4_dose,reduced_coverage_lower,14413,3630,589,150,100,26,175828,169793,AGO
100048,4_dose,reduced_coverage,15217,3936,613,155,105,26,175828,169793,AGO
100048,4_dose,reduced_coverage_upper,15686,4111,653,168,111,29,175828,169793,AGO
100048,3_dose,full_coverage,23414,6555,888,252,151,43,139350,133722,AGO
100048,4_dose,full_coverage,29312,8888,1132,330,193,56,175828,169793,AGO
100049,3_dose,reduced_coverage,12915,3638,465,122,79,21,104379,99823,AGO
100049,4_dose,reduced_coverage_lower,15314,4841,546,149,93,25,131512,126858,AGO
100049,4_dose,reduced_coverage,15710,5113,550,163,94,28,131512,126858,AGO
100049,4_dose,reduced_coverage_upper,16449,5396,583,173,99,30,131512,126858,AGO
100049,3_dose,full_coverage,23463,8074,819,254,140,43,104379,99823,AGO
100049,4_dose,full_coverage,30397,10918,1058,328,180,56,131512,126858,AGO
100050,3_dose,reduced_coverage,1204,-15,85,-0,14,-0,60318,58015,AGO
100050,4_dose,reduced_coverage_lower,1410,9,96,1,16,0,76231,73783,AGO
100050,4_dose,reduced_coverage,1536,-22,99,-1,17,-0,76231,73783,AGO
100050,4_dose,reduced_coverage_upper,1483,-3,105,0,18,0,76231,73783,AGO
100050,3_dose,full_coverage,2095,105,137,9,23,1,60318,58015,AGO
100050,4_dose,full_coverage,2720,134,179,11,31,2,76231,73783,AGO
100051,3_dose,reduced_coverage,16936,3904,761,178,130,30,204694,196708,AGO
100051,4_dose,reduced_coverage_lower,20054,5207,865,202,147,35,258741,250245,AGO
100051,4_dose,reduced_coverage,20697,5566,887,222,151,38,258741,250245,AGO
100051,4_dose,reduced_coverage_upper,21349,5956,914,237,156,40,258741,250245,AGO
100051,3_dose,full_coverage,31268,8759,1283,342,219,58,204694,196708,AGO
100051,4_dose,full_coverage,40110,12109,1646,449,281,77,258741,250245,AGO
100052,3_dose,reduced_coverage,5765,1256,249,57,42,10,72991,69875,AGO
100052,4_dose,reduced_coverage_lower,6811,1568,286,70,49,12,91922,88756,AGO
100052,4_dose,reduced_coverage,7163,1748,305,77,52,13,91922,88756,AGO
100052,4_dose,reduced_coverage_upper,7509,1786,304,80,52,14,91922,88756,AGO
100052,3_dose,full_coverage,10459,2741,433,123,74,21,72991,69875,AGO
100052,4_dose,full_coverage,13594,3820,557,163,95,28,91922,88756,AGO
100176,3_dose,reduced_coverage,5009,747,272,49,43,8,67084,64271,BDI
100176,4_dose,reduced_coverage_lower,6082,905,323,63,51,10,84701,81852,BDI
100176,4_dose,reduced_coverage,6233,1041,339,69,54,11,84701,81852,BDI
100176,4_dose,reduced_coverage_upper,6616,1098,351,71,56,11,84701,81852,BDI
100176,3_dose,full_coverage,5595,779,298,53,47,8,67084,64271,BDI
100176,4_dose,full_coverage,7235,1149,386,74,61,12,84701,81852,BDI
100177,3_dose,reduced_coverage,3884,-72,248,-4,39,-1,104737,100664,BDI
100177,4_dose,reduced_coverage_lower,4559,113,298,11,47,2,132332,127954,BDI
100177,4_dose,reduced_coverage,4904,61,320,7,51,1,132332,127954,BDI
100177,4_dose,reduced_coverage_upper,5043,116,333,13,53,2,132332,127954,BDI
100177,3_dose,full_coverage,4319,79,285,9,45,1,104737,100664,BDI
100177,4_dose,full_coverage,5536,130,360,15,57,2,132332,127954,BDI
100178,3_dose,reduced_coverage,3787,230,253,18,40,3,93290,89607,BDI
100178,4_dose,reduced_coverage_lower,4653,332,296,25,47,4,117817,114142,BDI
100178,4_dose,reduced_coverage,4884,315,308,25,49,4,117817,114142,BDI
100178,4_dose,reduced_coverage_upper,5070,331,331,25,52,4,117817,114142,BDI
100178,3_dose,full_coverage,4246,190,266,13,42,2,93290,89607,BDI
100178,4_dose,full_coverage,5591,359,349,29,55,5,117817,114142,BDI
100179,3_dose,reduced_coverage,3310,158,197,14,31,2,63424,60849,BDI
100179,4_dose,reduced_coverage_lower,3825,227,238,19,38,3,79833,77509,BDI
100179,4_dose,reduced_coverage,4036,286,239,23,38,4,79833,77509,BDI
100179,4_dose,reduced_coverage_upper,4356,330,256,27,41,4,79833,77509,BDI
100179,3_dose,full_coverage,3523,207,209,17,33,3,63424,60849,BDI
100179,4_dose,full_coverage,4603,350,271,28,43,5,79833,77509,BDI
100180,3_dose,reduced_coverage,9728,3318,337,103,53,16,45429,43224,BDI
100180,4_dose,reduced_coverage_lower,11324,4030,394,121,63,19,57277,54979,BDI
100180,4_dose,reduced_coverage,12088,4281,412,128,65,20,57277,54979,BDI
100180,4_dose,reduced_coverage_upper,12660,4567,430,139,68,22,57277,54979,BDI
100180,3_dose,full_coverage,10624,3695,372,113,59,18,45429,43224,BDI
100180,4_dose,full_coverage,13997,4945,476,150,76,24,57277,54979,BDI
100181,3_dose,reduced_coverage,10923,2512,506,119,80,19,91202,87461,BDI
100181,4_dose,reduced_coverage_lower,12359,2922,580,139,92,22,114957,110979,BDI
100181,4_dose,reduced_coverage,13222,3225,609,150,97,24,114957,110979,BDI
100181,4_dose,reduced_coverage_upper,13833,3250,635,157,101,25,114957,110979,BDI
100181,3_dose,full_coverage,11740,2805,534,126,85,20,91202,87461,BDI
100181,4_dose,full_coverage,15303,3776,686,170,109,27,114957,110979,BDI
100182,3_dose,reduced_coverage,13641,2921,619,153,98,24,126226,120666,BDI
100182,4_dose,reduced_coverage_lower,16098,3556,755,181,120,29,159207,153241,BDI
100182,4_dose,reduced_coverage,16751,3957,767,203,122,32,159207,153241,BDI
100182,4_dose,reduced_coverage_upper,17561,4098,823,208,131,33,159207,153241,BDI
100182,3_dose,full_coverage,14580,3154,661,167,105,26,126226,120666,BDI
100182,4_dose,full_coverage,19418,4398,883,227,140,36,159207,153241,BDI
100183,3_dose,reduced_coverage,14061,4147,533,156,85,25,82319,78530,BDI
