ISO,vaccine_type,vaccine_scenario,clin_cases_averted_upper,sev_cases_averted_upper,deaths_averted_upper,num_vacc_doses_upper,clin_cases_averted_lower,sev_cases_averted_lower,deaths_averted_lower,num_vacc_doses_lower
AGO,3_dose,full_coverage,70687,4462,574,3419513,684,76,10,3281879
AGO,3_dose,reduced_coverage,44640,2837,365,3419513,-6158,-451,-57,3281879
AGO,3_dose,reduced_coverage_lower,44640,2837,365,3419513,-6158,-451,-57,3281879
AGO,3_dose,reduced_coverage_upper,44640,2837,365,3419513,-6158,-451,-57,3281879
AGO,4_dose,full_coverage,82560,5283,679,4130839,2772,247,33,3987642
AGO,4_dose,reduced_coverage,49494,3128,402,4130839,-5781,-368,-46,3987642
AGO,4_dose,reduced_coverage_lower,48112,3054,394,4130839,-4870,-321,-40,3987642
AGO,4_dose,reduced_coverage_upper,49581,3223,414,4130839,-4089,-282,-36,3987642
BDI,3_dose,full_coverage,122096,6173,795,1391685,21537,1112,144,1333889
BDI,3_dose,reduced_coverage,112637,5649,730,1391685,18947,968,125,1333889
BDI,3_dose,reduced_coverage_lower,112637,5649,730,1391685,18947,968,125,1333889
BDI,3_dose,reduced_coverage_upper,112637,5649,730,1391685,18947,968,125,1333889
BDI,4_dose,full_coverage,148254,7358,946,1684377,28180,1455,189,1624377
BDI,4_dose,reduced_coverage,132448,6483,839,1684377,24311,1214,158,1624377
BDI,4_dose,reduced_coverage_lower,126469,6250,806,1684377,22085,1143,147,1624377
BDI,4_dose,reduced_coverage_upper,138346,6664,858,1684377,25756,1287,167,1624377
BEN,3_dose,full_coverage,211273,8275,1068,1227282,61504,2304,299,1165328
BEN,3_dose,reduced_coverage,176640,6878,888,1227282,48932,1843,236,1165328
BEN,3_dose,reduced_coverage_lower,176640,6878,888,1227282,48932,1843,236,1165328
BEN,3_dose,reduced_coverage_upper,176640,6878,888,1227282,48932,1843,236,1165328
BEN,4_dose,full_coverage,254486,9675,1246,1483891,76857,2794,360,1422218
BEN,4_dose,reduced_coverage,201374,7871,1015,1483891,60219,2132,274,1422218
BEN,4_dose,reduced_coverage_lower,199151,7636,985,1483891,55455,2079,268,1422218
BEN,4_dose,reduced_coverage_upper,207623,7999,1032,1483891,61218,2222,289,1422218
BFA,3_dose,full_coverage,664285,20446,2638,2397270,288704,6409,826,2286240
BFA,3_dose,reduced_coverage,615705,18407,2375,2397270,258678,5780,747,2286240
BFA,3_dose,reduced_coverage_lower,615705,18407,2375,2397270,258678,5780,747,2286240
