DIDE_CODE,vaccine_type,vaccine_scenario,clin_cases_averted,sev_cases_averted,deaths_averted,num_vacc_doses,ISO
100035,3_dose,reduced_coverage,1042,67,11,61266,AGO
100035,4_dose,reduced_coverage_lower,1165,73,12,73865,AGO
100035,4_dose,reduced_coverage,1344,83,14,73865,AGO
100035,4_dose,reduced_coverage_upper,1368,84,14,73865,AGO
100035,3_dose,full_coverage,2365,144,25,61266,AGO
100035,4_dose,full_coverage,2901,173,30,73865,AGO
100036,3_dose,reduced_coverage,1811,131,22,297750,AGO
100036,4_dose,reduced_coverage_lower,2249,161,27,361086,AGO
100036,4_dose,reduced_coverage,2195,162,28,361086,AGO
100036,4_dose,reduced_coverage_upper,2734,203,35,361086,AGO
100036,3_dose,full_coverage,4210,307,52,297750,AGO
100036,4_dose,full_coverage,4126,299,51,361086,AGO
100037,3_dose,reduced_coverage,8636,419,71,195951,AGO
100037,4_dose,reduced_coverage_lower,10821,513,88,238606,AGO
100037,4_dose,reduced_coverage,11421,508,87,238606,AGO
100037,4_dose,reduced_coverage_upper,11618,528,90,238606,AGO
100037,3_dose,full_coverage,18419,834,142,195951,AGO
100037,4_dose,full_coverage,22903,1027,175,238606,AGO
100038,3_dose,reduced_coverage,2912,152,26,75828,AGO
100038,4_dose,reduced_coverage_lower,3130,161,28,91616,AGO
100038,4_dose,reduced_coverage,3423,179,30,91616,AGO
100038,4_dose,reduced_coverage_upper,3609,187,32,91616,AGO
100038,3_dose,full_coverage,5212,282,48,75828,AGO
100038,4_dose,full_coverage,6443,339,58,91616,AGO
100039,3_dose,reduced_coverage,3560,167,29,68708,AGO
100039,4_dose,reduced_coverage_lower,3887,178,30,82837,AGO
100039,4_dose,reduced_coverage,4078,189,32,82837,AGO
100039,4_dose,reduced_coverage_upper,4473,201,34,82837,AGO
100039,3_dose,full_coverage,6661,313,53,68708,AGO
100039,4_dose,full_coverage,8412,384,65,82837,AGO
100040,3_dose,reduced_coverage,3123,139,24,64877,AGO
100040,4_dose,reduced_coverage_lower,3674,166,28,78870,AGO
100040,4_dose,reduced_coverage,3802,172,29,78870,AGO
100040,4_dose,reduced_coverage_upper,3657,165,28,78870,AGO
100040,3_dose,full_coverage,6730,298,51,64877,AGO
100040,4_dose,full_coverage,8105,355,60,78870,AGO
100041,3_dose,reduced_coverage,10579,515,88,227371,AGO
100041,4_dose,reduced_coverage_lower,12163,568,97,275452,AGO
100041,4_dose,reduced_coverage,11837,557,95,275452,AGO
100041,4_dose,reduced_coverage_upper,12115,575,98,275452,AGO
