DIDE_CODE,vaccine_type,vaccine_scenario,clin_cases_averted_upper,clin_cases_averted_lower,sev_cases_averted_upper,sev_cases_averted_lower,deaths_averted_upper,deaths_averted_lower,num_vacc_doses_upper,num_vacc_doses_lower,ISO
100035,3_dose,reduced_coverage,793,-138,60,-10,8,-1,62015,59847,AGO
100035,4_dose,reduced_coverage_lower,804,-133,58,-10,8,-1,75193,72641,AGO
100035,4_dose,reduced_coverage,839,-119,56,-10,7,-1,75193,72641,AGO
100035,4_dose,reduced_coverage_upper,868,-76,62,-8,8,-1,75193,72641,AGO
100035,3_dose,full_coverage,1166,-46,84,-1,11,-0,62015,59847,AGO
100035,4_dose,full_coverage,1404,-36,97,-1,12,-0,75193,72641,AGO
100036,3_dose,reduced_coverage,1185,-429,81,-37,10,-5,305512,293858,AGO
100036,4_dose,reduced_coverage_lower,1464,-454,96,-42,12,-5,369724,357047,AGO
100036,4_dose,reduced_coverage,1504,-398,111,-34,14,-4,369724,357047,AGO
100036,4_dose,reduced_coverage_upper,1413,-344,110,-31,14,-4,369724,357047,AGO
100036,3_dose,full_coverage,1720,-271,116,-22,15,-3,305512,293858,AGO
100036,4_dose,full_coverage,1800,-246,116,-18,15,-2,369724,357047,AGO
100037,3_dose,reduced_coverage,7617,-65,474,16,61,2,200658,190987,AGO
100037,4_dose,reduced_coverage_lower,7907,-142,485,21,63,3,242232,231849,AGO
100037,4_dose,reduced_coverage,8799,-130,532,17,69,2,242232,231849,AGO
100037,4_dose,reduced_coverage_upper,7656,22,535,17,69,2,242232,231849,AGO
100037,3_dose,full_coverage,12395,943,753,82,97,11,200658,190987,AGO
100037,4_dose,full_coverage,14691,1532,892,117,115,15,242232,231849,AGO
100038,3_dose,reduced_coverage,1554,-163,92,-13,12,-2,77150,73878,AGO
100038,4_dose,reduced_coverage_lower,1688,-128,103,-9,13,-1,92956,89765,AGO
100038,4_dose,reduced_coverage,1812,-104,112,-7,14,-1,92956,89765,AGO
100038,4_dose,reduced_coverage_upper,1847,-101,108,-8,14,-1,92956,89765,AGO
100038,3_dose,full_coverage,2577,56,166,6,21,1,77150,73878,AGO
100038,4_dose,full_coverage,3070,103,196,10,25,1,92956,89765,AGO
100039,3_dose,reduced_coverage,2527,-33,136,0,18,0,69494,66290,AGO
100039,4_dose,reduced_coverage_lower,2690,61,153,4,20,0,83817,80482,AGO
100039,4_dose,reduced_coverage,2937,28,146,11,19,1,83817,80482,AGO
100039,4_dose,reduced_coverage_upper,2743,91,160,7,21,1,83817,80482,AGO
100039,3_dose,full_coverage,4171,253,224,27,29,4,69494,66290,AGO
100039,4_dose,full_coverage,4843,537,266,41,34,5,83817,80482,AGO
100040,3_dose,reduced_coverage,2479,85,158,8,20,1,67002,63867,AGO
100040,4_dose,reduced_coverage_lower,2914,187,166,19,21,2,80757,77652,AGO
100040,4_dose,reduced_coverage,2697,273,174,20,22,3,80757,77652,AGO
100040,4_dose,reduced_coverage_upper,2984,268,177,19,23,2,80757,77652,AGO
100040,3_dose,full_coverage,4370,603,255,42,33,5,67002,63867,AGO
100040,4_dose,full_coverage,5076,662,296,51,38,7,80757,77652,AGO
100041,3_dose,reduced_coverage,7522,-357,425,-26,55,-3,231104,221991,AGO
100041,4_dose,reduced_coverage_lower,7856,-323,467,-15,60,-2,279841,270202,AGO
100041,4_dose,reduced_coverage,8617,-227,470,-17,61,-2,279841,270202,AGO
100041,4_dose,reduced_coverage_upper,8491,-71,506,-4,65,-0,279841,270202,AGO
100041,3_dose,full_coverage,11900,775,712,50,92,6,231104,221991,AGO
100041,4_dose,full_coverage,13992,1104,829,82,107,11,279841,270202,AGO
100042,3_dose,reduced_coverage,993,-229,69,-15,9,-2,113010,108757,AGO
100042,4_dose,reduced_coverage_lower,1033,-194,81,-14,10,-2,136092,131913,AGO
100042,4_dose,reduced_coverage,1051,-240,78,-17,10,-2,136092,131913,AGO
100042,4_dose,reduced_coverage_upper,1142,-197,87,-14,11,-2,136092,131913,AGO
100042,3_dose,full_coverage,1529,-103,110,-9,14,-1,113010,108757,AGO
100042,4_dose,full_coverage,1660,-127,139,-9,18,-1,136092,131913,AGO
100043,3_dose,reduced_coverage,1024,-525,76,-47,10,-6,284820,274715,AGO
100043,4_dose,reduced_coverage_lower,1052,-426,74,-41,10,-5,343768,333472,AGO
100043,4_dose,reduced_coverage,1057,-394,70,-38,9,-5,343768,333472,AGO
100043,4_dose,reduced_coverage_upper,1174,-422,78,-39,10,-5,343768,333472,AGO
100043,3_dose,full_coverage,1286,-339,85,-29,11,-4,284820,274715,AGO
100043,4_dose,full_coverage,1428,-290,97,-25,12,-3,343768,333472,AGO
100044,3_dose,reduced_coverage,1298,-813,103,-75,13,-10,366991,352877,AGO
100044,4_dose,reduced_coverage_lower,1197,-680,108,-60,14,-8,443333,429096,AGO
100044,4_dose,reduced_coverage,1083,-685,103,-54,13,-7,443333,429096,AGO
100044,4_dose,reduced_coverage_upper,1352,-627,100,-54,13,-7,443333,429096,AGO
100044,3_dose,full_coverage,1618,-500,114,-41,15,-5,366991,352877,AGO
