ISO,vaccine_type,vaccine_scenario,clin_cases_averted,sev_cases_averted,deaths_averted,num_vacc_doses
AGO,3_dose,full_coverage,19916,1436,186,3345456
AGO,3_dose,reduced_coverage,10858,764,101,3345456
AGO,3_dose,reduced_coverage_lower,10858,764,101,3345456
AGO,3_dose,reduced_coverage_upper,10858,764,101,3345456
AGO,4_dose,full_coverage,24177,1742,224,4050866
AGO,4_dose,reduced_coverage,12189,893,117,4050866
AGO,4_dose,reduced_coverage_lower,12699,921,120,4050866
AGO,4_dose,reduced_coverage_upper,13821,993,128,4050866
BDI,3_dose,full_coverage,52433,2913,375,1361248
BDI,3_dose,reduced_coverage,48941,2701,349,1361248
BDI,3_dose,reduced_coverage_lower,48941,2701,349,1361248
BDI,3_dose,reduced_coverage_upper,48941,2701,349,1361248
BDI,4_dose,full_coverage,63054,3520,454,1649880
BDI,4_dose,reduced_coverage,57917,3185,410,1649880
BDI,4_dose,reduced_coverage_lower,55072,3040,393,1649880
BDI,4_dose,reduced_coverage_upper,58323,3239,421,1649880
BEN,3_dose,full_coverage,114123,4923,635,1194062
BEN,3_dose,reduced_coverage,97658,4172,539,1194062
BEN,3_dose,reduced_coverage_lower,97658,4172,539,1194062
BEN,3_dose,reduced_coverage_upper,97658,4172,539,1194062
BEN,4_dose,full_coverage,138735,5888,760,1454655
BEN,4_dose,reduced_coverage,112356,4755,613,1454655
BEN,4_dose,reduced_coverage_lower,107708,4534,585,1454655
BEN,4_dose,reduced_coverage_upper,114844,4855,627,1454655
BFA,3_dose,full_coverage,443311,13167,1700,2337847
BFA,3_dose,reduced_coverage,391717,11657,1505,2337847
BFA,3_dose,reduced_coverage_lower,391717,11657,1505,2337847
BFA,3_dose,reduced_coverage_upper,391717,11657,1505,2337847
BFA,4_dose,full_coverage,520305,15319,1976,2840625
BFA,4_dose,reduced_coverage,459292,13495,1742,2840625
BFA,4_dose,reduced_coverage_lower,452162,13201,1701,2840625
BFA,4_dose,reduced_coverage_upper,475536,13856,1789,2840625
CAF,3_dose,full_coverage,65228,2313,296,476355
CAF,3_dose,reduced_coverage,32259,1138,144,476355
CAF,3_dose,reduced_coverage_lower,32259,1138,144,476355
CAF,3_dose,reduced_coverage_upper,32259,1138,144,476355
CAF,4_dose,full_coverage,78311,2770,357,578397
CAF,4_dose,reduced_coverage,35809,1287,165,578397
CAF,4_dose,reduced_coverage_lower,33956,1216,158,578397
CAF,4_dose,reduced_coverage_upper,36440,1291,167,578397
CIV,3_dose,full_coverage,251152,9981,1288,2518863
CIV,3_dose,reduced_coverage,201895,8070,1040,2518863
CIV,3_dose,reduced_coverage_lower,201895,8070,1040,2518863
CIV,3_dose,reduced_coverage_upper,201895,8070,1040,2518863
CIV,4_dose,full_coverage,303330,11768,1518,3064702
CIV,4_dose,reduced_coverage,240271,9333,1205,3064702
CIV,4_dose,reduced_coverage_lower,228924,8972,1157,3064702
CIV,4_dose,reduced_coverage_upper,247396,9606,1238,3064702
CMR,3_dose,full_coverage,69321,4138,534,2639349
CMR,3_dose,reduced_coverage,58193,3529,454,2639349
CMR,3_dose,reduced_coverage_lower,58193,3529,454,2639349
CMR,3_dose,reduced_coverage_upper,58193,3529,454,2639349
CMR,4_dose,full_coverage,80878,4848,625,3217664
CMR,4_dose,reduced_coverage,69379,4194,541,3217664
CMR,4_dose,reduced_coverage_lower,66528,3976,512,3217664
CMR,4_dose,reduced_coverage_upper,69761,4229,546,3217664
COD,3_dose,full_coverage,1191582,43723,5640,9888361
COD,3_dose,reduced_coverage,954561,34735,4482,9888361
COD,3_dose,reduced_coverage_lower,954561,34735,4482,9888361
COD,3_dose,reduced_coverage_upper,954561,34735,4482,9888361
COD,4_dose,full_coverage,1447577,52043,6714,11983425
COD,4_dose,reduced_coverage,1125569,40400,5214,11983425
COD,4_dose,reduced_coverage_lower,1095044,39674,5122,11983425
COD,4_dose,reduced_coverage_upper,1155839,41457,5350,11983425
COG,3_dose,full_coverage,21208,1253,162,538202
COG,3_dose,reduced_coverage,14539,864,112,538202
COG,3_dose,reduced_coverage_lower,14539,864,112,538202
COG,3_dose,reduced_coverage_upper,14539,864,112,538202
COG,4_dose,full_coverage,25905,1514,195,657603
COG,4_dose,reduced_coverage,17406,1012,132,657603
COG,4_dose,reduced_coverage_lower,16871,998,129,657603
COG,4_dose,reduced_coverage_upper,18479,1089,141,657603
GAB,3_dose,full_coverage,92,7,0,151475
GAB,3_dose,reduced_coverage,56,5,0,151475
GAB,3_dose,reduced_coverage_lower,56,5,0,151475
GAB,3_dose,reduced_coverage_upper,56,5,0,151475
GAB,4_dose,full_coverage,111,8,0,184552
GAB,4_dose,reduced_coverage,80,8,0,184552
GAB,4_dose,reduced_coverage_lower,73,5,0,184552
GAB,4_dose,reduced_coverage_upper,85,8,1,184552
GHA,3_dose,full_coverage,529174,13224,1706,2335934
GHA,3_dose,reduced_coverage,529903,13193,1702,2335934
GHA,3_dose,reduced_coverage_lower,529903,13193,1702,2335934
GHA,3_dose,reduced_coverage_upper,529903,13193,1702,2335934
GHA,4_dose,full_coverage,654466,15868,2047,2844565
GHA,4_dose,reduced_coverage,627569,15245,1965,2844565
GHA,4_dose,reduced_coverage_lower,600500,14813,1911,2844565
GHA,4_dose,reduced_coverage_upper,641281,15608,2013,2844565
GIN,3_dose,full_coverage,327049,7528,970,1376886
GIN,3_dose,reduced_coverage,143332,3224,416,1376886
GIN,3_dose,reduced_coverage_lower,143332,3224,416,1376886
GIN,3_dose,reduced_coverage_upper,143332,3224,416,1376886
GIN,4_dose,full_coverage,395657,8845,1141,1671516
GIN,4_dose,reduced_coverage,165410,3718,480,1671516
GIN,4_dose,reduced_coverage_lower,162822,3537,456,1671516
GIN,4_dose,reduced_coverage_upper,183766,4173,539,1671516
GNQ,3_dose,full_coverage,5021,235,30,61598
GNQ,3_dose,reduced_coverage,1386,68,9,61598
GNQ,3_dose,reduced_coverage_lower,1386,68,9,61598
GNQ,3_dose,reduced_coverage_upper,1386,68,9,61598
GNQ,4_dose,full_coverage,6319,292,38,74784
GNQ,4_dose,reduced_coverage,1379,69,8,74784
GNQ,4_dose,reduced_coverage_lower,1457,68,9,74784
GNQ,4_dose,reduced_coverage_upper,1369,72,8,74784
KEN,3_dose,full_coverage,85173,4593,592,3963064
KEN,3_dose,reduced_coverage,71261,3819,492,3963064
KEN,3_dose,reduced_coverage_lower,71261,3819,492,3963064
KEN,3_dose,reduced_coverage_upper,71261,3819,492,3963064
KEN,4_dose,full_coverage,107324,5700,735,4819765
KEN,4_dose,reduced_coverage,84604,4509,579,4819765
KEN,4_dose,reduced_coverage_lower,78465,4216,546,4819765
KEN,4_dose,reduced_coverage_upper,88827,4672,604,4819765
LBR,3_dose,full_coverage,34138,1619,210,483910
LBR,3_dose,reduced_coverage,30319,1464,188,483910
LBR,3_dose,reduced_coverage_lower,30319,1464,188,483910
LBR,3_dose,reduced_coverage_upper,30319,1464,188,483910
LBR,4_dose,full_coverage,42355,1994,255,585839
LBR,4_dose,reduced_coverage,35129,1672,215,585839
LBR,4_dose,reduced_coverage_lower,34222,1623,210,585839
LBR,4_dose,reduced_coverage_upper,36830,1759,226,585839
MLI,3_dose,full_coverage,331404,12308,1588,2806377
MLI,3_dose,reduced_coverage,225185,8432,1087,2806377
MLI,3_dose,reduced_coverage_lower,225185,8432,1087,2806377
MLI,3_dose,reduced_coverage_upper,225185,8432,1087,2806377
MLI,4_dose,full_coverage,406795,14814,1912,3385393
MLI,4_dose,reduced_coverage,262885,9529,1229,3385393
MLI,4_dose,reduced_coverage_lower,240090,9006,1162,3385393
MLI,4_dose,reduced_coverage_upper,261765,9587,1238,3385393
MOZ,3_dose,full_coverage,636863,18348,2368,3397923
MOZ,3_dose,reduced_coverage,544971,15295,1973,3397923
MOZ,3_dose,reduced_coverage_lower,544971,15295,1973,3397923
MOZ,3_dose,reduced_coverage_upper,544971,15295,1973,3397923
MOZ,4_dose,full_coverage,769317,21793,2811,4137177
MOZ,4_dose,reduced_coverage,584908,17077,2204,4137177
MOZ,4_dose,reduced_coverage_lower,595107,16753,2161,4137177
MOZ,4_dose,reduced_coverage_upper,617314,17138,2211,4137177
MWI,3_dose,full_coverage,195499,9032,1164,2211428
MWI,3_dose,reduced_coverage,170534,7887,1018,2211428
MWI,3_dose,reduced_coverage_lower,170534,7887,1018,2211428
MWI,3_dose,reduced_coverage_upper,170534,7887,1018,2211428
MWI,4_dose,full_coverage,247251,11189,1443,2685307
MWI,4_dose,reduced_coverage,206175,9334,1203,2685307
MWI,4_dose,reduced_coverage_lower,198133,9062,1170,2685307
MWI,4_dose,reduced_coverage_upper,214350,9728,1253,2685307
NAM,3_dose,full_coverage,0,0,0,18680
NAM,3_dose,reduced_coverage,-1,0,0,18680
NAM,3_dose,reduced_coverage_lower,-1,0,0,18680
NAM,3_dose,reduced_coverage_upper,-1,0,0,18680
NAM,4_dose,full_coverage,0,0,0,22794
NAM,4_dose,reduced_coverage,0,0,0,22794
NAM,4_dose,reduced_coverage_lower,0,0,0,22794
NAM,4_dose,reduced_coverage_upper,-1,0,0,22794
NER,3_dose,full_coverage,263330,13086,1687,3741348
NER,3_dose,reduced_coverage,219890,10744,1387,3741348
NER,3_dose,reduced_coverage_lower,219890,10744,1387,3741348
NER,3_dose,reduced_coverage_upper,219890,10744,1387,3741348
NER,4_dose,full_coverage,312053,15116,1950,4546384
NER,4_dose,reduced_coverage,241582,11612,1497,4546384
NER,4_dose,reduced_coverage_lower,239421,11633,1499,4546384
NER,4_dose,reduced_coverage_upper,246652,11806,1523,4546384
NGA,3_dose,full_coverage,2375843,87159,11241,24320568
NGA,3_dose,reduced_coverage,1045353,38416,4957,24320568
NGA,3_dose,reduced_coverage_lower,1045353,38416,4957,24320568
NGA,3_dose,reduced_coverage_upper,1045353,38416,4957,24320568
NGA,4_dose,full_coverage,2862798,103107,13300,29523365
NGA,4_dose,reduced_coverage,1179836,43117,5563,29523365
NGA,4_dose,reduced_coverage_lower,1140092,42449,5477,29523365
NGA,4_dose,reduced_coverage_upper,1227436,44933,5799,29523365
SLE,3_dose,full_coverage,131994,3771,487,622324
SLE,3_dose,reduced_coverage,116240,3417,441,622324
SLE,3_dose,reduced_coverage_lower,116240,3417,441,622324
SLE,3_dose,reduced_coverage_upper,116240,3417,441,622324
SLE,4_dose,full_coverage,160296,4594,592,755339
SLE,4_dose,reduced_coverage,132353,3769,486,755339
SLE,4_dose,reduced_coverage_lower,126968,3722,479,755339
SLE,4_dose,reduced_coverage_upper,140453,3901,503,755339
SSD,3_dose,full_coverage,27201,1743,224,1387266
SSD,3_dose,reduced_coverage,6174,395,51,1387266
SSD,3_dose,reduced_coverage_lower,6174,395,51,1387266
SSD,3_dose,reduced_coverage_upper,6174,395,51,1387266
SSD,4_dose,full_coverage,32757,2077,268,1684669
SSD,4_dose,reduced_coverage,8180,499,64,1684669
SSD,4_dose,reduced_coverage_lower,6692,438,56,1684669
SSD,4_dose,reduced_coverage_upper,7226,468,60,1684669
TCD,3_dose,full_coverage,49457,3237,416,1967822
