DIDE_CODE,vaccine_type,vaccine_scenario,clin_cases_averted_upper,clin_cases_averted_lower,sev_cases_averted_upper,sev_cases_averted_lower,deaths_averted_upper,deaths_averted_lower,num_vacc_doses_upper,num_vacc_doses_lower,ISO
100035,3_dose,reduced_coverage,838,-122,64,-10,8,-1,65230,62872,AGO
100035,4_dose,reduced_coverage_lower,964,-114,68,-10,9,-1,82700,79911,AGO
100035,4_dose,reduced_coverage,998,-89,69,-8,9,-1,82700,79911,AGO
100035,4_dose,reduced_coverage_upper,1073,-78,73,-7,9,-1,82700,79911,AGO
100035,3_dose,full_coverage,1384,-35,97,-2,13,-0,65230,62872,AGO
100035,4_dose,full_coverage,1769,-25,118,-1,15,-0,82700,79911,AGO
100036,3_dose,reduced_coverage,1147,-350,79,-30,10,-4,322035,309145,AGO
100036,4_dose,reduced_coverage_lower,1366,-330,95,-32,12,-4,405960,392959,AGO
100036,4_dose,reduced_coverage,1466,-279,109,-25,14,-3,405960,392959,AGO
100036,4_dose,reduced_coverage_upper,1342,-241,97,-24,13,-3,405960,392959,AGO
100036,3_dose,full_coverage,1778,-194,119,-15,15,-2,322035,309145,AGO
100036,4_dose,full_coverage,1821,-158,126,-12,16,-1,405960,392959,AGO
100037,3_dose,reduced_coverage,9832,334,532,32,69,4,211215,201358,AGO
100037,4_dose,reduced_coverage_lower,10793,707,614,59,79,8,265870,255567,AGO
100037,4_dose,reduced_coverage,11421,578,631,48,81,6,265870,255567,AGO
100037,4_dose,reduced_coverage_upper,11452,817,661,63,85,8,265870,255567,AGO
100037,3_dose,full_coverage,16289,1728,928,121,120,16,211215,201358,AGO
100037,4_dose,full_coverage,21195,2682,1162,183,150,24,265870,255567,AGO
100038,3_dose,reduced_coverage,1863,-120,115,-10,15,-1,80951,77658,AGO
100038,4_dose,reduced_coverage_lower,2087,-47,127,-4,16,-0,102141,98607,AGO
100038,4_dose,reduced_coverage,2410,-40,140,-3,18,-0,102141,98607,AGO
100038,4_dose,reduced_coverage_upper,2459,-29,142,-2,18,-0,102141,98607,AGO
100038,3_dose,full_coverage,3352,88,203,8,26,1,80951,77658,AGO
100038,4_dose,full_coverage,4264,181,261,16,34,2,102141,98607,AGO
100039,3_dose,reduced_coverage,3262,76,157,6,20,1,73307,69704,AGO
100039,4_dose,reduced_coverage_lower,3629,207,195,12,25,2,92048,88525,AGO
100039,4_dose,reduced_coverage,3912,227,205,20,27,3,92048,88525,AGO
100039,4_dose,reduced_coverage_upper,3778,291,207,21,27,3,92048,88525,AGO
100039,3_dose,full_coverage,5482,513,286,41,37,5,73307,69704,AGO
100039,4_dose,full_coverage,6922,804,358,61,46,8,92048,88525,AGO
100040,3_dose,reduced_coverage,3137,221,177,16,23,2,70523,67276,AGO
100040,4_dose,reduced_coverage_lower,3688,363,201,24,26,3,88710,85452,AGO
100040,4_dose,reduced_coverage,3717,385,206,27,27,3,88710,85452,AGO
100040,4_dose,reduced_coverage_upper,4016,384,220,25,28,3,88710,85452,AGO
100040,3_dose,full_coverage,5685,754,306,50,39,6,70523,67276,AGO
100040,4_dose,full_coverage,7246,923,384,67,50,9,88710,85452,AGO
100041,3_dose,reduced_coverage,8933,-43,541,-4,70,-0,243780,233270,AGO
100041,4_dose,reduced_coverage_lower,10316,206,568,17,73,2,307322,296960,AGO
100041,4_dose,reduced_coverage,11278,312,605,23,78,3,307322,296960,AGO
100041,4_dose,reduced_coverage_upper,11282,356,644,27,83,3,307322,296960,AGO
100041,3_dose,full_coverage,15444,1037,873,76,113,10,243780,233270,AGO
100041,4_dose,full_coverage,20070,1549,1086,125,140,16,307322,296960,AGO
100042,3_dose,reduced_coverage,1058,-195,76,-15,10,-2,118821,114221,AGO
100042,4_dose,reduced_coverage_lower,1211,-177,87,-14,11,-2,149501,145062,AGO
100042,4_dose,reduced_coverage,1221,-172,83,-13,11,-2,149501,145062,AGO
100042,4_dose,reduced_coverage_upper,1261,-159,94,-13,12,-2,149501,145062,AGO
100042,3_dose,full_coverage,1715,-68,122,-6,16,-1,118821,114221,AGO
100042,4_dose,full_coverage,2038,-71,158,-5,20,-1,149501,145062,AGO
100043,3_dose,reduced_coverage,919,-362,70,-33,9,-4,299272,288288,AGO
100043,4_dose,reduced_coverage_lower,961,-281,73,-27,9,-3,378130,367003,AGO
100043,4_dose,reduced_coverage,950,-277,68,-24,9,-3,378130,367003,AGO
100043,4_dose,reduced_coverage_upper,1054,-297,74,-27,10,-3,378130,367003,AGO
100043,3_dose,full_coverage,1133,-219,82,-19,11,-2,299272,288288,AGO
100043,4_dose,full_coverage,1307,-196,95,-16,12,-2,378130,367003,AGO
100044,3_dose,reduced_coverage,1168,-734,96,-60,12,-8,386079,371127,AGO
100044,4_dose,reduced_coverage_lower,1301,-506,112,-46,14,-6,487164,472462,AGO
100044,4_dose,reduced_coverage,1113,-549,102,-44,13,-6,487164,472462,AGO
100044,4_dose,reduced_coverage_upper,1278,-472,97,-41,13,-5,487164,472462,AGO
100044,3_dose,full_coverage,1589,-378,109,-31,14,-4,386079,371127,AGO
100044,4_dose,full_coverage,1783,-261,150,-20,19,-3,487164,472462,AGO
100045,3_dose,reduced_coverage,2515,-1446,185,-110,24,-14,930853,895625,AGO
100045,4_dose,reduced_coverage_lower,2341,-1056,201,-74,26,-10,1175122,1135763,AGO
100045,4_dose,reduced_coverage,2386,-1710,197,-116,25,-15,1175122,1135763,AGO
100045,4_dose,reduced_coverage_upper,2246,-1009,181,-81,23,-10,1175122,1135763,AGO
100045,3_dose,full_coverage,3156,-918,239,-73,31,-9,930853,895625,AGO
100045,4_dose,full_coverage,3400,-724,286,-52,37,-7,1175122,1135763,AGO
100046,3_dose,reduced_coverage,3234,-275,212,-20,27,-3,142250,136635,AGO
100046,4_dose,reduced_coverage_lower,3495,-157,236,-9,30,-1,179607,173869,AGO
100046,4_dose,reduced_coverage,3728,-160,247,-9,32,-1,179607,173869,AGO
100046,4_dose,reduced_coverage_upper,3854,-138,246,-5,32,-1,179607,173869,AGO
100046,3_dose,full_coverage,4886,-23,322,0,42,0,142250,136635,AGO
100046,4_dose,full_coverage,6631,34,416,7,54,1,179607,173869,AGO
100047,3_dose,reduced_coverage,957,-130,70,-9,9,-1,70219,67197,AGO
100047,4_dose,reduced_coverage_lower,1137,-104,81,-8,10,-1,88737,85666,AGO
100047,4_dose,reduced_coverage,1142,-103,77,-8,10,-1,88737,85666,AGO
100047,4_dose,reduced_coverage_upper,1205,-116,84,-8,11,-1,88737,85666,AGO
100047,3_dose,full_coverage,1531,-20,109,-2,14,-0,70219,67197,AGO
100047,4_dose,full_coverage,1936,-10,142,-1,18,-0,88737,85666,AGO
100048,3_dose,reduced_coverage,3453,-213,220,-14,28,-2,139189,133714,AGO
100048,4_dose,reduced_coverage_lower,3848,-69,263,-2,34,-0,176114,169999,AGO
100048,4_dose,reduced_coverage,4130,-69,259,-1,33,-0,176114,169999,AGO
100048,4_dose,reduced_coverage_upper,4333,-49,272,-0,35,-0,176114,169999,AGO
100048,3_dose,full_coverage,6074,232,386,23,50,3,139189,133714,AGO
100048,4_dose,full_coverage,7589,350,500,27,65,4,176114,169999,AGO
100049,3_dose,reduced_coverage,4692,70,247,3,32,0,104362,99858,AGO
100049,4_dose,reduced_coverage_lower,5262,147,287,10,37,1,131429,126777,AGO
100049,4_dose,reduced_coverage,5662,303,300,18,39,2,131429,126777,AGO
100049,4_dose,reduced_coverage_upper,5746,249,307,20,40,3,131429,126777,AGO
100049,3_dose,full_coverage,8119,810,417,54,54,7,104362,99858,AGO
100049,4_dose,full_coverage,10152,1135,532,79,69,10,131429,126777,AGO
100050,3_dose,reduced_coverage,93,-29,7,-3,1,-0,60360,57957,AGO
100050,4_dose,reduced_coverage_lower,92,-34,8,-2,1,-0,76115,73723,AGO
100050,4_dose,reduced_coverage,107,-31,8,-2,1,-0,76115,73723,AGO
100050,4_dose,reduced_coverage_upper,106,-26,8,-2,1,-0,76115,73723,AGO
100050,3_dose,full_coverage,100,-33,8,-2,1,-0,60360,57957,AGO
100050,4_dose,full_coverage,113,-25,9,-2,1,-0,76115,73723,AGO
100051,3_dose,reduced_coverage,4964,-320,319,-30,41,-4,205141,196384,AGO
100051,4_dose,reduced_coverage_lower,5835,-324,349,-24,45,-3,258927,249975,AGO
100051,4_dose,reduced_coverage,5777,-413,350,-30,45,-4,258927,249975,AGO
100051,4_dose,reduced_coverage_upper,6147,-241,407,-16,53,-2,258927,249975,AGO
100051,3_dose,full_coverage,8429,147,528,12,68,2,205141,196384,AGO
100051,4_dose,full_coverage,10448,144,660,14,85,2,258927,249975,AGO
100052,3_dose,reduced_coverage,1498,-188,97,-18,12,-2,72822,69824,AGO
100052,4_dose,reduced_coverage_lower,1691,-127,113,-10,15,-1,92022,88829,AGO
100052,4_dose,reduced_coverage,1767,-91,112,-6,14,-1,92022,88829,AGO
100052,4_dose,reduced_coverage_upper,1854,-55,122,-5,16,-1,92022,88829,AGO
100052,3_dose,full_coverage,2596,-4,166,-0,21,-0,72822,69824,AGO
100052,4_dose,full_coverage,3296,58,212,7,27,1,92022,88829,AGO
100176,3_dose,reduced_coverage,3855,177,236,15,30,2,67078,64348,BDI
100176,4_dose,reduced_coverage_lower,4539,288,269,22,35,3,84581,81882,BDI
100176,4_dose,reduced_coverage,4787,259,283,21,36,3,84581,81882,BDI
100176,4_dose,reduced_coverage_upper,5030,325,295,26,38,3,84581,81882,BDI
100176,3_dose,full_coverage,4080,272,245,22,32,3,67078,64348,BDI
100176,4_dose,full_coverage,5502,357,325,29,42,4,84581,81882,BDI
100177,3_dose,reduced_coverage,2717,-115,187,-8,24,-1,104499,100707,BDI
100177,4_dose,reduced_coverage_lower,3179,-106,208,-7,27,-1,132065,128128,BDI
100177,4_dose,reduced_coverage,3287,-94,216,-6,28,-1,132065,128128,BDI
100177,4_dose,reduced_coverage_upper,3465,-73,236,-5,31,-1,132065,128128,BDI
100177,3_dose,full_coverage,2982,-101,200,-9,26,-1,104499,100707,BDI
100177,4_dose,full_coverage,3792,-73,263,-6,34,-1,132065,128128,BDI
100178,3_dose,reduced_coverage,2640,-105,184,-8,24,-1,93304,89662,BDI
100178,4_dose,reduced_coverage_lower,3120,-84,225,-6,29,-1,117691,113839,BDI
100178,4_dose,reduced_coverage,3463,-74,232,-5,30,-1,117691,113839,BDI
100178,4_dose,reduced_coverage_upper,3588,-70,235,-5,30,-1,117691,113839,BDI
100178,3_dose,full_coverage,2998,-106,208,-9,27,-1,93304,89662,BDI
100178,4_dose,full_coverage,3721,-81,265,-7,34,-1,117691,113839,BDI
100179,3_dose,reduced_coverage,2240,-79,149,-7,19,-1,63298,60830,BDI
100179,4_dose,reduced_coverage_lower,2674,-44,164,-4,21,-0,79951,77365,BDI
100179,4_dose,reduced_coverage,2805,-26,180,-2,23,-0,79951,77365,BDI
100179,4_dose,reduced_coverage_upper,3003,-18,189,-2,24,-0,79951,77365,BDI
100179,3_dose,full_coverage,2617,-69,161,-5,21,-1,63298,60830,BDI
