DIDE_CODE,vaccine_type,vaccine_scenario,clin_cases_averted,sev_cases_averted,deaths_averted,num_vacc_doses,ISO
100035,3_dose,reduced_coverage,94,8,1,60435,AGO
100035,4_dose,reduced_coverage_lower,67,5,1,73279,AGO
100035,4_dose,reduced_coverage,69,6,1,73279,AGO
100035,4_dose,reduced_coverage_upper,57,6,1,73279,AGO
100035,3_dose,full_coverage,183,16,2,60435,AGO
100035,4_dose,full_coverage,240,21,3,73279,AGO
100036,3_dose,reduced_coverage,-12,-2,-0,301084,AGO
100036,4_dose,reduced_coverage_lower,7,0,0,365019,AGO
100036,4_dose,reduced_coverage,15,1,0,365019,AGO
100036,4_dose,reduced_coverage_upper,-47,-5,-1,365019,AGO
100036,3_dose,full_coverage,103,9,1,301084,AGO
100036,4_dose,full_coverage,225,19,2,365019,AGO
100037,3_dose,reduced_coverage,2872,190,24,195036,AGO
100037,4_dose,reduced_coverage_lower,3218,234,30,237379,AGO
100037,4_dose,reduced_coverage,3196,229,30,237379,AGO
100037,4_dose,reduced_coverage_upper,3381,241,31,237379,AGO
100037,3_dose,full_coverage,4983,334,43,195036,AGO
100037,4_dose,full_coverage,6145,411,53,237379,AGO
100038,3_dose,reduced_coverage,389,28,4,74697,AGO
100038,4_dose,reduced_coverage_lower,372,30,4,90855,AGO
100038,4_dose,reduced_coverage,388,29,4,90855,AGO
100038,4_dose,reduced_coverage_upper,376,28,4,90855,AGO
100038,3_dose,full_coverage,657,52,7,74697,AGO
100038,4_dose,full_coverage,803,62,8,90855,AGO
100039,3_dose,reduced_coverage,1269,77,10,67844,AGO
100039,4_dose,reduced_coverage_lower,1118,68,9,81558,AGO
100039,4_dose,reduced_coverage,975,59,8,81558,AGO
100039,4_dose,reduced_coverage_upper,1405,87,11,81558,AGO
100039,3_dose,full_coverage,1984,126,16,67844,AGO
100039,4_dose,full_coverage,2186,139,18,81558,AGO
100040,3_dose,reduced_coverage,655,47,6,64672,AGO
100040,4_dose,reduced_coverage_lower,905,63,8,78753,AGO
100040,4_dose,reduced_coverage,868,61,8,78753,AGO
100040,4_dose,reduced_coverage_upper,868,62,8,78753,AGO
100040,3_dose,full_coverage,1454,100,13,64672,AGO
100040,4_dose,full_coverage,1805,122,16,78753,AGO
100041,3_dose,reduced_coverage,1223,75,10,225183,AGO
100041,4_dose,reduced_coverage_lower,2478,169,22,273450,AGO
100041,4_dose,reduced_coverage,1933,137,18,273450,AGO
100041,4_dose,reduced_coverage_upper,2193,152,20,273450,AGO
100041,3_dose,full_coverage,3746,264,34,225183,AGO
100041,4_dose,full_coverage,4459,322,42,273450,AGO
100042,3_dose,reduced_coverage,147,12,2,110260,AGO
100042,4_dose,reduced_coverage_lower,229,20,3,133423,AGO
100042,4_dose,reduced_coverage,247,21,3,133423,AGO
100042,4_dose,reduced_coverage_upper,194,16,2,133423,AGO
100042,3_dose,full_coverage,169,15,2,110260,AGO
100042,4_dose,full_coverage,280,25,3,133423,AGO
100043,3_dose,reduced_coverage,56,5,1,278756,AGO
100043,4_dose,reduced_coverage_lower,98,8,1,338362,AGO
100043,4_dose,reduced_coverage,82,7,1,338362,AGO
100043,4_dose,reduced_coverage_upper,41,4,0,338362,AGO
100043,3_dose,full_coverage,154,14,2,278756,AGO
100043,4_dose,full_coverage,165,15,2,338362,AGO
100044,3_dose,reduced_coverage,167,15,2,361741,AGO
100044,4_dose,reduced_coverage_lower,154,14,2,437116,AGO
100044,4_dose,reduced_coverage,180,16,2,437116,AGO
100044,4_dose,reduced_coverage_upper,150,13,2,437116,AGO
100044,3_dose,full_coverage,420,37,5,361741,AGO
100044,4_dose,full_coverage,365,32,4,437116,AGO
100045,3_dose,reduced_coverage,470,38,5,865374,AGO
100045,4_dose,reduced_coverage_lower,294,22,3,1048345,AGO
100045,4_dose,reduced_coverage,294,22,3,1048345,AGO
100045,4_dose,reduced_coverage_upper,463,37,5,1048345,AGO
100045,3_dose,full_coverage,-8,-3,-0,865374,AGO
100045,4_dose,full_coverage,-22,-5,-1,1048345,AGO
100046,3_dose,reduced_coverage,513,41,5,132574,AGO
100046,4_dose,reduced_coverage_lower,618,49,6,160909,AGO
100046,4_dose,reduced_coverage,747,55,7,160909,AGO
100046,4_dose,reduced_coverage_upper,655,49,6,160909,AGO
100046,3_dose,full_coverage,1020,79,10,132574,AGO
100046,4_dose,full_coverage,905,73,9,160909,AGO
100047,3_dose,reduced_coverage,57,5,1,65806,AGO
100047,4_dose,reduced_coverage_lower,271,22,3,79148,AGO
100047,4_dose,reduced_coverage,252,21,3,79148,AGO
100047,4_dose,reduced_coverage_upper,164,14,2,79148,AGO
100047,3_dose,full_coverage,191,18,2,65806,AGO
100047,4_dose,full_coverage,255,22,3,79148,AGO
100048,3_dose,reduced_coverage,876,60,8,130370,AGO
100048,4_dose,reduced_coverage_lower,619,47,6,157237,AGO
100048,4_dose,reduced_coverage,780,54,7,157237,AGO
100048,4_dose,reduced_coverage_upper,893,66,8,157237,AGO
100048,3_dose,full_coverage,737,61,8,130370,AGO
100048,4_dose,full_coverage,1101,87,11,157237,AGO
100049,3_dose,reduced_coverage,1162,83,11,96716,AGO
100049,4_dose,reduced_coverage_lower,1450,96,12,116257,AGO
100049,4_dose,reduced_coverage,1339,96,12,116257,AGO
100049,4_dose,reduced_coverage_upper,1722,111,14,116257,AGO
100049,3_dose,full_coverage,2123,150,19,96716,AGO
100049,4_dose,full_coverage,2605,182,23,116257,AGO
