ISO,vaccine_type,vaccine_scenario,clin_cases_averted,sev_cases_averted,deaths_averted,num_vacc_doses
AGO,3_dose,full_coverage,126137,7030,1197,3349600
AGO,3_dose,reduced_coverage,63537,3594,612,3349600
AGO,3_dose,reduced_coverage_lower,63537,3594,612,3349600
AGO,3_dose,reduced_coverage_upper,63537,3594,612,3349600
AGO,4_dose,full_coverage,153613,8456,1442,4052771
AGO,4_dose,reduced_coverage,75079,4135,703,4052771
AGO,4_dose,reduced_coverage_lower,74980,4180,711,4052771
AGO,4_dose,reduced_coverage_upper,80476,4444,757,4052771
BDI,3_dose,full_coverage,68089,3685,586,1364395
BDI,3_dose,reduced_coverage,62038,3296,523,1364395
BDI,3_dose,reduced_coverage_lower,62038,3296,523,1364395
BDI,3_dose,reduced_coverage_upper,62038,3296,523,1364395
BDI,4_dose,full_coverage,82478,4416,702,1655835
BDI,4_dose,reduced_coverage,75712,3993,635,1655835
BDI,4_dose,reduced_coverage_lower,70717,3767,598,1655835
BDI,4_dose,reduced_coverage_upper,77809,4074,647,1655835
BEN,3_dose,full_coverage,178500,6661,1201,1194578
BEN,3_dose,reduced_coverage,146120,5479,989,1194578
BEN,3_dose,reduced_coverage_lower,146120,5479,989,1194578
BEN,3_dose,reduced_coverage_upper,146120,5479,989,1194578
BEN,4_dose,full_coverage,212619,7823,1412,1451501
BEN,4_dose,reduced_coverage,174118,6313,1139,1451501
BEN,4_dose,reduced_coverage_lower,165024,6114,1103,1451501
BEN,4_dose,reduced_coverage_upper,179041,6478,1167,1451501
BFA,3_dose,full_coverage,467441,13806,2286,2337498
BFA,3_dose,reduced_coverage,418656,12234,2026,2337498
BFA,3_dose,reduced_coverage_lower,418656,12234,2026,2337498
BFA,3_dose,reduced_coverage_upper,418656,12234,2026,2337498
BFA,4_dose,full_coverage,561832,16301,2698,2836050
BFA,4_dose,reduced_coverage,489072,13999,2318,2836050
BFA,4_dose,reduced_coverage_lower,465262,13403,2218,2836050
BFA,4_dose,reduced_coverage_upper,502883,14488,2397,2836050
CAF,3_dose,full_coverage,74419,2578,431,474901
CAF,3_dose,reduced_coverage,29909,1072,177,474901
CAF,3_dose,reduced_coverage_lower,29909,1072,177,474901
CAF,3_dose,reduced_coverage_upper,29909,1072,177,474901
CAF,4_dose,full_coverage,90411,3089,516,576193
CAF,4_dose,reduced_coverage,39049,1356,229,576193
CAF,4_dose,reduced_coverage_lower,35426,1242,206,576193
CAF,4_dose,reduced_coverage_upper,42193,1410,235,576193
CIV,3_dose,full_coverage,301567,11127,2050,2516616
CIV,3_dose,reduced_coverage,245937,8998,1656,2516616
CIV,3_dose,reduced_coverage_lower,245937,8998,1656,2516616
CIV,3_dose,reduced_coverage_upper,245937,8998,1656,2516616
CIV,4_dose,full_coverage,365700,13174,2428,3064531
CIV,4_dose,reduced_coverage,295112,10546,1941,3064531
CIV,4_dose,reduced_coverage_lower,280652,10207,1880,3064531
CIV,4_dose,reduced_coverage_upper,309467,11271,2076,3064531
CMR,3_dose,full_coverage,180708,8705,1659,2649247
CMR,3_dose,reduced_coverage,154468,7249,1383,2649247
CMR,3_dose,reduced_coverage_lower,154468,7249,1383,2649247
CMR,3_dose,reduced_coverage_upper,154468,7249,1383,2649247
CMR,4_dose,full_coverage,216580,10234,1951,3228663
CMR,4_dose,reduced_coverage,179781,8352,1592,3228663
CMR,4_dose,reduced_coverage_lower,168507,7912,1508,3228663
CMR,4_dose,reduced_coverage_upper,188079,8795,1677,3228663
COD,3_dose,full_coverage,1482977,51663,9319,9905197
COD,3_dose,reduced_coverage,1195317,41508,7485,9905197
COD,3_dose,reduced_coverage_lower,1195317,41508,7485,9905197
COD,3_dose,reduced_coverage_upper,1195317,41508,7485,9905197
COD,4_dose,full_coverage,1772334,60687,10942,11973290
COD,4_dose,reduced_coverage,1396360,47509,8565,11973290
COD,4_dose,reduced_coverage_lower,1341695,45856,8271,11973290
COD,4_dose,reduced_coverage_upper,1447419,49574,8937,11973290
COG,3_dose,full_coverage,80917,3035,527,541031
COG,3_dose,reduced_coverage,54716,2098,363,541031
COG,3_dose,reduced_coverage_lower,54716,2098,363,541031
COG,3_dose,reduced_coverage_upper,54716,2098,363,541031
COG,4_dose,full_coverage,97074,3598,625,655326
COG,4_dose,reduced_coverage,63967,2400,416,655326
COG,4_dose,reduced_coverage_lower,62901,2349,408,655326
COG,4_dose,reduced_coverage_upper,66229,2483,432,655326
GAB,3_dose,full_coverage,7518,434,75,152198
GAB,3_dose,reduced_coverage,5677,343,58,152198
GAB,3_dose,reduced_coverage_lower,5677,343,58,152198
GAB,3_dose,reduced_coverage_upper,5677,343,58,152198
GAB,4_dose,full_coverage,9347,544,93,185123
GAB,4_dose,reduced_coverage,6592,387,67,185123
GAB,4_dose,reduced_coverage_lower,6405,381,66,185123
GAB,4_dose,reduced_coverage_upper,6794,395,69,185123
GHA,3_dose,full_coverage,582369,14477,2498,2342250
GHA,3_dose,reduced_coverage,583981,14399,2484,2342250
GHA,3_dose,reduced_coverage_lower,583981,14399,2484,2342250
GHA,3_dose,reduced_coverage_upper,583981,14399,2484,2342250
GHA,4_dose,full_coverage,721444,17299,2984,2847310
GHA,4_dose,reduced_coverage,687915,16716,2885,2847310
GHA,4_dose,reduced_coverage_lower,665582,15879,2738,2847310
GHA,4_dose,reduced_coverage_upper,715351,17347,2992,2847310
GIN,3_dose,full_coverage,379411,8616,1598,1374176
GIN,3_dose,reduced_coverage,173333,4050,751,1374176
GIN,3_dose,reduced_coverage_lower,173333,4050,751,1374176
GIN,3_dose,reduced_coverage_upper,173333,4050,751,1374176
GIN,4_dose,full_coverage,445830,9906,1839,1671942
GIN,4_dose,reduced_coverage,178149,3992,742,1671942
GIN,4_dose,reduced_coverage_lower,175418,3984,740,1671942
GIN,4_dose,reduced_coverage_upper,193731,4170,774,1671942
GNQ,3_dose,full_coverage,14156,399,62,61354
GNQ,3_dose,reduced_coverage,3654,98,15,61354
GNQ,3_dose,reduced_coverage_lower,3654,98,15,61354
GNQ,3_dose,reduced_coverage_upper,3654,98,15,61354
GNQ,4_dose,full_coverage,17259,475,74,74927
GNQ,4_dose,reduced_coverage,4107,106,17,74927
GNQ,4_dose,reduced_coverage_lower,4217,108,17,74927
GNQ,4_dose,reduced_coverage_upper,4332,114,18,74927
KEN,3_dose,full_coverage,120545,6383,1013,3960443
KEN,3_dose,reduced_coverage,99345,5209,825,3960443
