ISO,vaccine_type,vaccine_scenario,clin_cases_averted_upper,sev_cases_averted_upper,deaths_averted_upper,num_vacc_doses_upper,clin_cases_averted_lower,sev_cases_averted_lower,deaths_averted_lower,num_vacc_doses_lower
AGO,3_dose,full_coverage,269980,13594,2321,3417765,58432,2770,470,3281021
AGO,3_dose,reduced_coverage,153225,7929,1351,3417765,20593,946,159,3281021
AGO,3_dose,reduced_coverage_lower,153225,7929,1351,3417765,20593,946,159,3281021
AGO,3_dose,reduced_coverage_upper,153225,7929,1351,3417765,20593,946,159,3281021
AGO,4_dose,full_coverage,325774,16201,2763,4127487,75414,3348,571,3991116
AGO,4_dose,reduced_coverage,174662,8933,1525,4127487,29653,1295,219,3991116
AGO,4_dose,reduced_coverage_lower,168656,8607,1469,4127487,27547,1211,205,3991116
AGO,4_dose,reduced_coverage_upper,180892,9212,1571,4127487,30688,1415,241,3991116
BDI,3_dose,full_coverage,142210,6779,1076,1392714,33519,1568,249,1332826
BDI,3_dose,reduced_coverage,129974,6292,999,1392714,29902,1414,222,1332826
BDI,3_dose,reduced_coverage_lower,129974,6292,999,1392714,29902,1414,222,1332826
BDI,3_dose,reduced_coverage_upper,129974,6292,999,1392714,29902,1414,222,1332826
BDI,4_dose,full_coverage,171931,8141,1294,1685001,42919,1950,311,1622643
BDI,4_dose,reduced_coverage,152670,7189,1140,1685001,36852,1735,278,1622643
BDI,4_dose,reduced_coverage_lower,147076,6976,1107,1685001,34648,1628,257,1622643
BDI,4_dose,reduced_coverage_upper,157893,7467,1186,1685001,38863,1788,282,1622643
BEN,3_dose,full_coverage,294429,10173,1833,1227538,109729,3116,561,1164119
BEN,3_dose,reduced_coverage,245899,8387,1513,1227538,86687,2553,460,1164119
BEN,3_dose,reduced_coverage_lower,245899,8387,1513,1227538,86687,2553,460,1164119
BEN,3_dose,reduced_coverage_upper,245899,8387,1513,1227538,86687,2553,460,1164119
BEN,4_dose,full_coverage,353741,11758,2120,1485567,135877,3769,680,1420556
BEN,4_dose,reduced_coverage,282213,9545,1720,1485567,103558,3001,541,1420556
BEN,4_dose,reduced_coverage_lower,272742,9276,1673,1485567,99143,2912,526,1420556
BEN,4_dose,reduced_coverage_upper,293237,9818,1770,1485567,109075,3099,559,1420556
BFA,3_dose,full_coverage,709860,21355,3536,2398858,321045,6934,1148,2286163
BFA,3_dose,reduced_coverage,651016,19697,3262,2398858,288822,6244,1032,2286163
BFA,3_dose,reduced_coverage_lower,651016,19697,3262,2398858,288822,6244,1032,2286163
BFA,3_dose,reduced_coverage_upper,651016,19697,3262,2398858,288822,6244,1032,2286163
BFA,4_dose,full_coverage,843900,24607,4074,2899341,391777,8434,1396,2780171
BFA,4_dose,reduced_coverage,746817,21988,3640,2899341,337473,7498,1242,2780171
BFA,4_dose,reduced_coverage_lower,722339,21491,3558,2899341,326040,7120,1178,2780171
BFA,4_dose,reduced_coverage_upper,764521,22495,3725,2899341,351915,7733,1279,2780171
CAF,3_dose,full_coverage,123754,3983,667,488372,47628,1227,206,463632
CAF,3_dose,reduced_coverage,63540,2069,346,488372,16784,440,74,463632
CAF,3_dose,reduced_coverage_lower,63540,2069,346,488372,16784,440,74,463632
CAF,3_dose,reduced_coverage_upper,63540,2069,346,488372,16784,440,74,463632
CAF,4_dose,full_coverage,149855,4637,777,590654,57839,1507,252,564680
CAF,4_dose,reduced_coverage,72440,2290,385,590654,22267,572,96,564680
CAF,4_dose,reduced_coverage_lower,68939,2253,380,590654,20703,555,94,564680
CAF,4_dose,reduced_coverage_upper,74001,2344,392,590654,23738,589,99,564680
CIV,3_dose,full_coverage,516646,18377,3384,2568235,189489,5631,1037,2457344
CIV,3_dose,reduced_coverage,438912,15422,2841,2568235,156537,4581,845,2457344
CIV,3_dose,reduced_coverage_lower,438912,15422,2841,2568235,156537,4581,845,2457344
CIV,3_dose,reduced_coverage_upper,438912,15422,2841,2568235,156537,4581,845,2457344
CIV,4_dose,full_coverage,625984,21539,3970,3112485,235757,6738,1244,2998769
CIV,4_dose,reduced_coverage,508017,17527,3229,3112485,188303,5406,996,2998769
CIV,4_dose,reduced_coverage_lower,493747,17092,3149,3112485,179556,5116,942,2998769
CIV,4_dose,reduced_coverage_upper,528493,18232,3359,3112485,195518,5643,1038,2998769
CMR,3_dose,full_coverage,338288,14582,2780,2711681,96841,3715,709,2587970
CMR,3_dose,reduced_coverage,291538,12779,2436,2711681,82476,3126,596,2587970
CMR,3_dose,reduced_coverage_lower,291538,12779,2436,2711681,82476,3126,596,2587970
CMR,3_dose,reduced_coverage_upper,291538,12779,2436,2711681,82476,3126,596,2587970
CMR,4_dose,full_coverage,403095,17261,3290,3285524,122643,4514,862,3153371
CMR,4_dose,reduced_coverage,338246,14539,2773,3285524,99304,3750,715,3153371
CMR,4_dose,reduced_coverage_lower,326426,14017,2673,3285524,94118,3582,685,3153371
CMR,4_dose,reduced_coverage_upper,350928,15065,2872,3285524,105720,3933,748,3153371
COD,3_dose,full_coverage,2435930,80602,14537,10136643,950715,24728,4461,9670415
COD,3_dose,reduced_coverage,2016588,65594,11830,10136643,746174,19406,3496,9670415
COD,3_dose,reduced_coverage_lower,2016588,65594,11830,10136643,746174,19406,3496,9670415
COD,3_dose,reduced_coverage_upper,2016588,65594,11830,10136643,746174,19406,3496,9670415
COD,4_dose,full_coverage,2941244,93459,16853,12227613,1176032,29983,5407,11747533
COD,4_dose,reduced_coverage,2331988,74219,13387,12227613,898358,23067,4160,11747533
COD,4_dose,reduced_coverage_lower,2253850,72127,13007,12227613,854113,22064,3979,11747533
COD,4_dose,reduced_coverage_upper,2402525,76550,13805,12227613,930841,23881,4307,11747533
COG,3_dose,full_coverage,131398,4702,817,553854,50650,1454,251,528528
COG,3_dose,reduced_coverage,92709,3310,575,553854,32738,969,168,528528
COG,3_dose,reduced_coverage_lower,92709,3310,575,553854,32738,969,168,528528
COG,3_dose,reduced_coverage_upper,92709,3310,575,553854,32738,969,168,528528
COG,4_dose,full_coverage,161268,5506,955,669500,63304,1746,305,644684
COG,4_dose,reduced_coverage,108409,3769,653,669500,40022,1139,198,644684
COG,4_dose,reduced_coverage_lower,104794,3635,631,669500,38970,1085,189,644684
COG,4_dose,reduced_coverage_upper,113219,3859,671,669500,41767,1147,198,644684
GAB,3_dose,full_coverage,15684,811,139,155594,3518,180,32,147616
