ISO,vaccine_type,vaccine_scenario,clin_cases_averted_upper,sev_cases_averted_upper,deaths_averted_upper,num_vacc_doses_upper,clin_cases_averted_lower,sev_cases_averted_lower,deaths_averted_lower,num_vacc_doses_lower
AGO,3_dose,full_coverage,88742,5300,685,3596409,3417,235,32,3452113
AGO,3_dose,reduced_coverage,53563,3264,420,3596409,-3826,-309,-39,3452113
AGO,3_dose,reduced_coverage_lower,53563,3264,420,3596409,-3826,-309,-39,3452113
AGO,3_dose,reduced_coverage_upper,53563,3264,420,3596409,-3826,-309,-39,3452113
AGO,4_dose,full_coverage,111980,6655,858,4537619,6390,477,63,4387109
AGO,4_dose,reduced_coverage,63185,3768,486,4537619,-2178,-153,-20,4387109
AGO,4_dose,reduced_coverage_lower,60017,3678,472,4537619,-1696,-140,-16,4387109
AGO,4_dose,reduced_coverage_upper,64486,3936,509,4537619,-813,-75,-9,4387109
BDI,3_dose,full_coverage,170327,7382,954,1451710,35986,1549,200,1390597
BDI,3_dose,reduced_coverage,156179,6831,881,1451710,31784,1375,178,1390597
BDI,3_dose,reduced_coverage_lower,156179,6831,881,1451710,31784,1375,178,1390597
BDI,3_dose,reduced_coverage_upper,156179,6831,881,1451710,31784,1375,178,1390597
BDI,4_dose,full_coverage,220683,9501,1225,1832347,48472,2123,274,1768205
BDI,4_dose,reduced_coverage,194138,8281,1069,1832347,41912,1817,236,1768205
BDI,4_dose,reduced_coverage_lower,183033,7922,1022,1832347,38773,1695,218,1768205
BDI,4_dose,reduced_coverage_upper,203899,8660,1117,1832347,43988,1903,247,1768205
BEN,3_dose,full_coverage,285587,9462,1220,1274995,91304,2791,361,1210507
BEN,3_dose,reduced_coverage,238955,7879,1018,1274995,73496,2288,296,1210507
BEN,3_dose,reduced_coverage_lower,238955,7879,1018,1274995,73496,2288,296,1210507
BEN,3_dose,reduced_coverage_upper,238955,7879,1018,1274995,73496,2288,296,1210507
BEN,4_dose,full_coverage,371410,12003,1547,1610929,124346,3734,482,1544418
BEN,4_dose,reduced_coverage,293544,9583,1236,1610929,96338,2908,376,1544418
BEN,4_dose,reduced_coverage_lower,280531,9105,1175,1610929,88958,2714,351,1544418
BEN,4_dose,reduced_coverage_upper,305968,9940,1281,1610929,101567,3014,388,1544418
BFA,3_dose,full_coverage,900580,22899,2953,2514325,412467,7044,909,2394641
BFA,3_dose,reduced_coverage,829367,20688,2668,2514325,370736,6311,815,2394641
BFA,3_dose,reduced_coverage_lower,829367,20688,2668,2514325,370736,6311,815,2394641
BFA,3_dose,reduced_coverage_upper,829367,20688,2668,2514325,370736,6311,815,2394641
BFA,4_dose,full_coverage,1174622,28139,3630,3174825,557828,9575,1234,3048804
BFA,4_dose,reduced_coverage,1020841,24511,3163,3174825,485605,8244,1064,3048804
BFA,4_dose,reduced_coverage_lower,973248,23701,3057,3174825,453934,7800,1006,3048804
BFA,4_dose,reduced_coverage_upper,1073817,25480,3288,3174825,512186,8771,1131,3048804
CAF,3_dose,full_coverage,151153,4247,548,498278,55463,1280,167,471151
CAF,3_dose,reduced_coverage,77775,2264,291,498278,21409,433,57,471151
CAF,3_dose,reduced_coverage_lower,77775,2264,291,498278,21409,433,57,471151
CAF,3_dose,reduced_coverage_upper,77775,2264,291,498278,21409,433,57,471151
CAF,4_dose,full_coverage,196657,5335,690,628681,76824,1746,224,601624
CAF,4_dose,reduced_coverage,94204,2641,341,628681,29819,655,84,601624
CAF,4_dose,reduced_coverage_lower,90892,2567,332,628681,26892,598,77,601624
CAF,4_dose,reduced_coverage_upper,97440,2782,359,628681,32174,701,91,601624
CIV,3_dose,full_coverage,628804,19605,2530,2667592,225132,5684,736,2553583
CIV,3_dose,reduced_coverage,532773,16695,2153,2667592,183505,4597,592,2553583
CIV,3_dose,reduced_coverage_lower,532773,16695,2153,2667592,183505,4597,592,2553583
CIV,3_dose,reduced_coverage_upper,532773,16695,2153,2667592,183505,4597,592,2553583
CIV,4_dose,full_coverage,825638,24713,3189,3376095,306539,7622,983,3254453
CIV,4_dose,reduced_coverage,666291,20440,2636,3376095,241189,5990,775,3254453
CIV,4_dose,reduced_coverage_lower,630868,19422,2507,3376095,224562,5591,721,3254453
CIV,4_dose,reduced_coverage_upper,698181,21082,2717,3376095,252432,6330,815,3254453
CMR,3_dose,full_coverage,223672,10795,1393,2818745,34398,1674,216,2684302
CMR,3_dose,reduced_coverage,194770,9391,1212,2818745,27552,1379,179,2684302
CMR,3_dose,reduced_coverage_lower,194770,9391,1212,2818745,27552,1379,179,2684302
CMR,3_dose,reduced_coverage_upper,194770,9391,1212,2818745,27552,1379,179,2684302
CMR,4_dose,full_coverage,287411,13659,1763,3561248,46276,2331,301,3426275
CMR,4_dose,reduced_coverage,243227,11440,1476,3561248,37526,1868,241,3426275
CMR,4_dose,reduced_coverage_lower,226339,10904,1407,3561248,36512,1753,226,3426275
CMR,4_dose,reduced_coverage_upper,252187,11919,1537,3561248,40706,1979,255,3426275
COD,3_dose,full_coverage,2711944,80773,10419,10567892,997884,23755,3064,10086247
COD,3_dose,reduced_coverage,2215775,66998,8643,10567892,787318,18768,2423,10086247
COD,3_dose,reduced_coverage_lower,2215775,66998,8643,10567892,787318,18768,2423,10086247
COD,3_dose,reduced_coverage_upper,2215775,66998,8643,10567892,787318,18768,2423,10086247
COD,4_dose,full_coverage,3529994,101313,13070,13310441,1361398,32233,4160,12816753
COD,4_dose,reduced_coverage,2742459,79727,10284,13310441,1024186,24258,3128,12816753
COD,4_dose,reduced_coverage_lower,2602119,76838,9914,13310441,964967,22734,2937,12816753
COD,4_dose,reduced_coverage_upper,2865190,83788,10810,13310441,1092635,25483,3289,12816753
COG,3_dose,full_coverage,64269,2976,384,587400,11886,636,82,561008
COG,3_dose,reduced_coverage,45776,2162,280,587400,7552,404,52,561008
COG,3_dose,reduced_coverage_lower,45776,2162,280,587400,7552,404,52,561008
COG,3_dose,reduced_coverage_upper,45776,2162,280,587400,7552,404,52,561008
COG,4_dose,full_coverage,83665,3823,494,742197,15863,854,108,715771
COG,4_dose,reduced_coverage,56153,2608,338,742197,10208,534,69,715771
COG,4_dose,reduced_coverage_lower,53169,2514,324,742197,9124,490,63,715771
COG,4_dose,reduced_coverage_upper,58448,2710,350,742197,10709,568,73,715771
GAB,3_dose,full_coverage,980,76,9,160362,-154,-13,-1,152283
GAB,3_dose,reduced_coverage,887,69,8,160362,-185,-14,-1,152283
GAB,3_dose,reduced_coverage_lower,887,69,8,160362,-185,-14,-1,152283
GAB,3_dose,reduced_coverage_upper,887,69,8,160362,-185,-14,-1,152283
GAB,4_dose,full_coverage,1226,95,13,203253,-125,-10,-1,194965
GAB,4_dose,reduced_coverage,957,75,9,203253,-168,-13,-1,194965
GAB,4_dose,reduced_coverage_lower,966,70,7,203253,-166,-13,-1,194965
GAB,4_dose,reduced_coverage_upper,980,75,8,203253,-179,-15,-1,194965
GHA,3_dose,full_coverage,1024908,23743,3062,2455591,466377,6104,787,2331614
GHA,3_dose,reduced_coverage,1026589,23905,3084,2455591,467427,6100,788,2331614
GHA,3_dose,reduced_coverage_lower,1026589,23905,3084,2455591,467427,6100,788,2331614
GHA,3_dose,reduced_coverage_upper,1026589,23905,3084,2455591,467427,6100,788,2331614
GHA,4_dose,full_coverage,1352875,29414,3796,3112249,634333,8837,1140,2981877
GHA,4_dose,reduced_coverage,1281001,28226,3643,3112249,600200,8200,1057,2981877
GHA,4_dose,reduced_coverage_lower,1214436,26979,3479,3112249,561091,7526,970,2981877
GHA,4_dose,reduced_coverage_upper,1346756,29386,3793,3112249,633378,8666,1120,2981877
GIN,3_dose,full_coverage,599187,14461,1866,1462195,270408,3425,442,1390611
GIN,3_dose,reduced_coverage,301593,7202,929,1462195,99104,955,123,1390611
GIN,3_dose,reduced_coverage_lower,301593,7202,929,1462195,99104,955,123,1390611
