ISO,vaccine_type,vaccine_scenario,clin_cases_averted,sev_cases_averted,deaths_averted,num_vacc_doses
AGO,3_dose,lowest_coverage,46006,2607,444,3359984
AGO,4_dose,lowest_coverage,59187,3315,564,4069639
BDI,3_dose,lowest_coverage,51229,2735,434,1363892
BDI,4_dose,lowest_coverage,58365,3064,486,1656919
BEN,3_dose,lowest_coverage,105187,3967,716,1197280
BEN,4_dose,lowest_coverage,122140,4493,811,1452334
BFA,3_dose,lowest_coverage,311783,9068,1501,2333196
BFA,4_dose,lowest_coverage,366742,10585,1752,2832589
CAF,3_dose,lowest_coverage,27018,876,147,474567
CAF,4_dose,lowest_coverage,28466,936,156,576620
CIV,3_dose,lowest_coverage,188172,7142,1315,2518466
CIV,4_dose,lowest_coverage,223888,8447,1558,3056043
CMR,3_dose,lowest_coverage,121982,5871,1119,2650745
CMR,4_dose,lowest_coverage,138991,6691,1277,3227528
COD,3_dose,lowest_coverage,916014,31498,5679,9907595
COD,4_dose,lowest_coverage,1079423,36511,6586,11977954
COG,3_dose,lowest_coverage,41335,1552,268,540851
COG,4_dose,lowest_coverage,49039,1815,314,655704
GAB,3_dose,lowest_coverage,4555,271,48,152147
GAB,4_dose,lowest_coverage,5365,318,55,185423
GHA,3_dose,lowest_coverage,426821,10763,1856,2339698
GHA,4_dose,lowest_coverage,502500,12360,2131,2843376
GIN,3_dose,lowest_coverage,133608,3117,577,1374797
GIN,4_dose,lowest_coverage,150922,3516,653,1675402
GNQ,3_dose,lowest_coverage,2666,78,11,61354
GNQ,4_dose,lowest_coverage,3295,90,14,74927
KEN,3_dose,lowest_coverage,73670,3911,620,3962909
KEN,4_dose,lowest_coverage,85362,4455,708,4815550
LBR,3_dose,lowest_coverage,25789,1172,191,481343
LBR,4_dose,lowest_coverage,30414,1407,230,584263
MLI,3_dose,lowest_coverage,196542,6611,1237,2813219
MLI,4_dose,lowest_coverage,235323,7691,1438,3401786
MOZ,3_dose,lowest_coverage,414305,11579,1904,3385772
MOZ,4_dose,lowest_coverage,512791,13735,2259,4132888
MWI,3_dose,lowest_coverage,180229,7594,1232,2207149
MWI,4_dose,lowest_coverage,210143,8660,1405,2685701
NAM,3_dose,lowest_coverage,105,9,1,18836
NAM,4_dose,lowest_coverage,105,9,1,22878
NER,3_dose,lowest_coverage,310803,12082,2050,3753104
NER,4_dose,lowest_coverage,336219,13407,2275,4541139
NGA,3_dose,lowest_coverage,1185721,36376,5913,24336159
NGA,4_dose,lowest_coverage,1426907,43222,7025,29535330
SLE,3_dose,lowest_coverage,91903,2664,421,623575
SLE,4_dose,lowest_coverage,107604,3121,493,759140
SSD,3_dose,lowest_coverage,13876,654,123,1382364
SSD,4_dose,lowest_coverage,18694,938,179,1687325
TCD,3_dose,lowest_coverage,26616,1523,295,1963930
TCD,4_dose,lowest_coverage,30867,1739,341,2383379
TGO,3_dose,lowest_coverage,116243,3532,642,782089
TGO,4_dose,lowest_coverage,132009,3959,718,950561
TZA,3_dose,lowest_coverage,210916,12299,1787,6716718
TZA,4_dose,lowest_coverage,252533,14553,2111,8162483
UGA,3_dose,lowest_coverage,329969,13479,2095,5452409
UGA,4_dose,lowest_coverage,393687,15883,2470,6624689
ZMB,3_dose,lowest_coverage,203576,7321,1116,2426412
ZMB,4_dose,lowest_coverage,240225,8620,1314,2950924
