DIDE_CODE,vaccine_type,vaccine_scenario,clin_cases_averted,sev_cases_averted,deaths_averted,num_vacc_doses,ISO
100035,3_dose,reduced_coverage,111,10,1,63834,AGO
100035,4_dose,reduced_coverage_lower,6,0,0,80999,AGO
100035,4_dose,reduced_coverage,30,3,0,80999,AGO
100035,4_dose,reduced_coverage_upper,92,9,1,80999,AGO
100035,3_dose,full_coverage,132,11,1,63834,AGO
100035,4_dose,full_coverage,213,18,2,80999,AGO
100036,3_dose,reduced_coverage,-22,-2,-0,317555,AGO
100036,4_dose,reduced_coverage_lower,7,0,0,401439,AGO
100036,4_dose,reduced_coverage,12,1,0,401439,AGO
100036,4_dose,reduced_coverage_upper,-43,-4,-1,401439,AGO
100036,3_dose,full_coverage,16,1,0,317555,AGO
100036,4_dose,full_coverage,116,10,1,401439,AGO
100037,3_dose,reduced_coverage,3534,224,29,206466,AGO
100037,4_dose,reduced_coverage_lower,4864,318,41,261424,AGO
100037,4_dose,reduced_coverage,4271,286,37,261424,AGO
100037,4_dose,reduced_coverage_upper,5249,345,45,261424,AGO
100037,3_dose,full_coverage,6545,418,54,206466,AGO
100037,4_dose,full_coverage,8748,560,72,261424,AGO
100038,3_dose,reduced_coverage,407,30,4,79197,AGO
100038,4_dose,reduced_coverage_lower,443,35,4,100465,AGO
100038,4_dose,reduced_coverage,465,36,5,100465,AGO
100038,4_dose,reduced_coverage_upper,591,46,6,100465,AGO
100038,3_dose,full_coverage,694,54,7,79197,AGO
100038,4_dose,full_coverage,1028,79,10,100465,AGO
100039,3_dose,reduced_coverage,1189,73,9,71587,AGO
100039,4_dose,reduced_coverage_lower,1276,77,10,90260,AGO
100039,4_dose,reduced_coverage,1122,69,9,90260,AGO
100039,4_dose,reduced_coverage_upper,1524,95,12,90260,AGO
100039,3_dose,full_coverage,2257,142,18,71587,AGO
100039,4_dose,full_coverage,2718,173,22,90260,AGO
100040,3_dose,reduced_coverage,843,57,7,68642,AGO
100040,4_dose,reduced_coverage_lower,1171,77,10,86605,AGO
100040,4_dose,reduced_coverage,1248,80,10,86605,AGO
100040,4_dose,reduced_coverage_upper,1152,76,10,86605,AGO
100040,3_dose,full_coverage,2084,134,17,68642,AGO
100040,4_dose,full_coverage,2620,168,22,86605,AGO
100041,3_dose,reduced_coverage,2420,160,21,237545,AGO
100041,4_dose,reduced_coverage_lower,3251,213,27,301972,AGO
100041,4_dose,reduced_coverage,3526,235,30,301972,AGO
100041,4_dose,reduced_coverage_upper,3808,259,33,301972,AGO
100041,3_dose,full_coverage,5721,392,51,237545,AGO
100041,4_dose,full_coverage,6448,442,57,301972,AGO
100042,3_dose,reduced_coverage,80,7,1,116310,AGO
100042,4_dose,reduced_coverage_lower,186,16,2,146651,AGO
100042,4_dose,reduced_coverage,202,17,2,146651,AGO
100042,4_dose,reduced_coverage_upper,203,17,2,146651,AGO
100042,3_dose,full_coverage,143,13,2,116310,AGO
100042,4_dose,full_coverage,175,15,2,146651,AGO
100043,3_dose,reduced_coverage,13,1,0,294248,AGO
100043,4_dose,reduced_coverage_lower,45,4,0,370916,AGO
100043,4_dose,reduced_coverage,49,4,1,370916,AGO
100043,4_dose,reduced_coverage_upper,8,1,0,370916,AGO
100043,3_dose,full_coverage,96,9,1,294248,AGO
100043,4_dose,full_coverage,97,9,1,370916,AGO
100044,3_dose,reduced_coverage,67,6,1,382203,AGO
100044,4_dose,reduced_coverage_lower,77,7,1,480872,AGO
100044,4_dose,reduced_coverage,96,9,1,480872,AGO
100044,4_dose,reduced_coverage_upper,95,8,1,480872,AGO
100044,3_dose,full_coverage,217,19,2,382203,AGO
100044,4_dose,full_coverage,202,18,2,480872,AGO
100045,3_dose,reduced_coverage,283,23,3,909096,AGO
100045,4_dose,reduced_coverage_lower,195,15,2,1161581,AGO
100045,4_dose,reduced_coverage,199,16,2,1161581,AGO
100045,4_dose,reduced_coverage_upper,272,22,3,1161581,AGO
100045,3_dose,full_coverage,52,3,0,909096,AGO
100045,4_dose,full_coverage,34,2,0,1161581,AGO
100046,3_dose,reduced_coverage,258,21,3,138728,AGO
100046,4_dose,reduced_coverage_lower,645,48,6,176172,AGO
100046,4_dose,reduced_coverage,581,44,6,176172,AGO
100046,4_dose,reduced_coverage_upper,716,53,7,176172,AGO
100046,3_dose,full_coverage,1178,91,12,138728,AGO
100046,4_dose,full_coverage,1285,101,13,176172,AGO
100047,3_dose,reduced_coverage,115,10,1,68774,AGO
100047,4_dose,reduced_coverage_lower,275,23,3,87026,AGO
100047,4_dose,reduced_coverage,258,22,3,87026,AGO
100047,4_dose,reduced_coverage_upper,200,17,2,87026,AGO
100047,3_dose,full_coverage,262,23,3,68774,AGO
100047,4_dose,full_coverage,310,27,3,87026,AGO
100048,3_dose,reduced_coverage,999,75,10,136890,AGO
100048,4_dose,reduced_coverage_lower,902,68,9,173081,AGO
100048,4_dose,reduced_coverage,1149,84,11,173081,AGO
100048,4_dose,reduced_coverage_upper,1361,102,13,173081,AGO
100048,3_dose,full_coverage,1270,98,13,136890,AGO
100048,4_dose,full_coverage,1882,143,18,173081,AGO
100049,3_dose,reduced_coverage,1797,114,15,102200,AGO
100049,4_dose,reduced_coverage_lower,1750,111,14,128469,AGO
100049,4_dose,reduced_coverage,1883,123,16,128469,AGO
100049,4_dose,reduced_coverage_upper,2316,144,19,128469,AGO
100049,3_dose,full_coverage,2887,189,24,102200,AGO
100049,4_dose,full_coverage,3806,248,32,128469,AGO
100050,3_dose,reduced_coverage,-9,-1,-0,59151,AGO
100050,4_dose,reduced_coverage_lower,-6,-0,-0,74953,AGO
100050,4_dose,reduced_coverage,-6,-0,-0,74953,AGO
100050,4_dose,reduced_coverage_upper,-6,-1,-0,74953,AGO
100050,3_dose,full_coverage,2,0,0,59151,AGO
100050,4_dose,full_coverage,2,0,0,74953,AGO
100051,3_dose,reduced_coverage,1325,103,13,200365,AGO
100051,4_dose,reduced_coverage_lower,1315,106,14,253299,AGO
100051,4_dose,reduced_coverage,1174,96,12,253299,AGO
100051,4_dose,reduced_coverage_upper,1487,118,15,253299,AGO
100051,3_dose,full_coverage,2139,167,22,200365,AGO
100051,4_dose,full_coverage,3028,235,30,253299,AGO
100052,3_dose,reduced_coverage,180,15,2,70938,AGO
100052,4_dose,reduced_coverage_lower,281,22,3,90059,AGO
100052,4_dose,reduced_coverage,367,30,4,90059,AGO
100052,4_dose,reduced_coverage_upper,287,24,3,90059,AGO
100052,3_dose,full_coverage,486,39,5,70938,AGO
100052,4_dose,full_coverage,603,49,6,90059,AGO
100176,3_dose,reduced_coverage,1173,83,11,65296,BDI
100176,4_dose,reduced_coverage_lower,1409,99,13,82900,BDI
100176,4_dose,reduced_coverage,1491,106,14,82900,BDI
100176,4_dose,reduced_coverage_upper,1507,106,14,82900,BDI
100176,3_dose,full_coverage,1239,90,12,65296,BDI
100176,4_dose,full_coverage,1704,121,16,82900,BDI
100177,3_dose,reduced_coverage,233,21,3,102560,BDI
100177,4_dose,reduced_coverage_lower,360,32,4,130220,BDI
100177,4_dose,reduced_coverage,396,34,4,130220,BDI
100177,4_dose,reduced_coverage_upper,347,30,4,130220,BDI
100177,3_dose,full_coverage,211,18,2,102560,BDI
100177,4_dose,full_coverage,551,47,6,130220,BDI
100178,3_dose,reduced_coverage,280,23,3,91584,BDI
100178,4_dose,reduced_coverage_lower,665,55,7,115388,BDI
100178,4_dose,reduced_coverage,663,55,7,115388,BDI
100178,4_dose,reduced_coverage_upper,561,46,6,115388,BDI
100178,3_dose,full_coverage,361,30,4,91584,BDI
100178,4_dose,full_coverage,636,53,7,115388,BDI
100179,3_dose,reduced_coverage,547,42,5,62292,BDI
100179,4_dose,reduced_coverage_lower,638,50,6,78563,BDI
100179,4_dose,reduced_coverage,571,45,6,78563,BDI
100179,4_dose,reduced_coverage_upper,614,48,6,78563,BDI
100179,3_dose,full_coverage,615,48,6,62292,BDI
100179,4_dose,full_coverage,816,65,8,78563,BDI
100180,3_dose,reduced_coverage,4822,195,25,44258,BDI
100180,4_dose,reduced_coverage_lower,5685,222,29,56052,BDI
100180,4_dose,reduced_coverage,6077,242,31,56052,BDI
100180,4_dose,reduced_coverage_upper,6071,246,32,56052,BDI
100180,3_dose,full_coverage,5376,214,28,44258,BDI
100180,4_dose,full_coverage,6930,277,36,56052,BDI
100181,3_dose,reduced_coverage,3287,195,25,88776,BDI
100181,4_dose,reduced_coverage_lower,4115,250,32,112668,BDI
100181,4_dose,reduced_coverage,4324,259,33,112668,BDI
100181,4_dose,reduced_coverage_upper,4519,269,35,112668,BDI
100181,3_dose,full_coverage,3652,221,28,88776,BDI
100181,4_dose,full_coverage,4788,284,37,112668,BDI
100182,3_dose,reduced_coverage,4808,291,38,123071,BDI
100182,4_dose,reduced_coverage_lower,5494,332,43,155666,BDI
100182,4_dose,reduced_coverage,5957,357,46,155666,BDI
100182,4_dose,reduced_coverage_upper,6169,374,48,155666,BDI
100182,3_dose,full_coverage,4677,285,37,123071,BDI
100182,4_dose,full_coverage,6297,381,49,155666,BDI
100183,3_dose,reduced_coverage,5970,278,36,80165,BDI
100183,4_dose,reduced_coverage_lower,7450,349,45,102101,BDI
100183,4_dose,reduced_coverage,7324,340,44,102101,BDI
100183,4_dose,reduced_coverage_upper,8231,379,49,102101,BDI
100183,3_dose,full_coverage,6597,310,40,80165,BDI
100183,4_dose,full_coverage,8827,413,53,102101,BDI
100184,3_dose,reduced_coverage,3529,216,28,108404,BDI
100184,4_dose,reduced_coverage_lower,4269,265,34,136923,BDI
100184,4_dose,reduced_coverage,4575,283,36,136923,BDI
100184,4_dose,reduced_coverage_upper,4631,283,36,136923,BDI
100184,3_dose,full_coverage,3839,236,30,108404,BDI
100184,4_dose,full_coverage,4949,305,39,136923,BDI
100185,3_dose,reduced_coverage,13497,531,68,122545,BDI
100185,4_dose,reduced_coverage_lower,15138,607,78,156167,BDI
100185,4_dose,reduced_coverage,16433,656,85,156167,BDI
