DIDE_CODE,vaccine_type,vaccine_scenario,clin_cases_averted_upper,clin_cases_averted_lower,sev_cases_averted_upper,sev_cases_averted_lower,deaths_averted_upper,deaths_averted_lower,num_vacc_doses_upper,num_vacc_doses_lower,ISO
100035,3_dose,reduced_coverage,2774,380,157,24,27,4,62165,59608,AGO
100035,4_dose,reduced_coverage_lower,3188,431,176,31,30,5,75194,72518,AGO
100035,4_dose,reduced_coverage,3416,498,186,29,32,5,75194,72518,AGO
100035,4_dose,reduced_coverage_upper,3381,504,186,30,32,5,75194,72518,AGO
100035,3_dose,full_coverage,5010,974,274,54,47,9,62165,59608,AGO
100035,4_dose,full_coverage,6113,1231,329,74,56,13,75194,72518,AGO
100036,3_dose,reduced_coverage,7179,-104,429,2,73,0,305772,293348,AGO
100036,4_dose,reduced_coverage_lower,7747,10,496,12,85,2,369191,357402,AGO
100036,4_dose,reduced_coverage,7889,31,509,11,87,2,369191,357402,AGO
100036,4_dose,reduced_coverage_upper,8619,139,554,21,95,4,369191,357402,AGO
100036,3_dose,full_coverage,12766,1233,771,100,132,17,305772,293348,AGO
100036,4_dose,full_coverage,15344,1548,924,118,158,20,369191,357402,AGO
100037,3_dose,reduced_coverage,21377,4544,876,200,149,34,200291,191612,AGO
100037,4_dose,reduced_coverage_lower,22934,6326,932,251,159,43,241956,232995,AGO
100037,4_dose,reduced_coverage,24182,6902,993,248,169,42,241956,232995,AGO
100037,4_dose,reduced_coverage_upper,24269,6609,982,262,167,45,241956,232995,AGO
100037,3_dose,full_coverage,36379,10529,1483,418,253,71,200291,191612,AGO
100037,4_dose,full_coverage,44052,13705,1743,522,297,89,241956,232995,AGO
100038,3_dose,reduced_coverage,5003,991,250,49,43,8,77099,74052,AGO
100038,4_dose,reduced_coverage_lower,5660,1188,280,55,48,9,93246,89860,AGO
100038,4_dose,reduced_coverage,5913,1271,285,67,49,11,93246,89860,AGO
100038,4_dose,reduced_coverage_upper,6043,1439,292,60,50,10,93246,89860,AGO
100038,3_dose,full_coverage,9135,2245,449,108,77,18,77099,74052,AGO
100038,4_dose,full_coverage,10986,2931,523,131,89,22,93246,89860,AGO
100039,3_dose,reduced_coverage,6688,1570,283,61,48,10,69473,66318,AGO
100039,4_dose,reduced_coverage_lower,7450,1924,317,73,54,12,84006,80803,AGO
100039,4_dose,reduced_coverage,7869,2091,327,80,56,14,84006,80803,AGO
100039,4_dose,reduced_coverage_upper,8002,2154,329,83,56,14,84006,80803,AGO
100039,3_dose,full_coverage,12234,3885,498,156,85,27,69473,66318,AGO
100039,4_dose,full_coverage,14527,4951,616,185,105,31,84006,80803,AGO
100040,3_dose,reduced_coverage,7222,1449,261,61,45,10,66974,64046,AGO
100040,4_dose,reduced_coverage_lower,7676,1931,303,73,52,12,80758,77772,AGO
100040,4_dose,reduced_coverage,7740,2033,307,79,52,13,80758,77772,AGO
100040,4_dose,reduced_coverage_upper,7648,2148,312,83,53,14,80758,77772,AGO
100040,3_dose,full_coverage,11611,3657,498,136,85,23,66974,64046,AGO
100040,4_dose,full_coverage,15175,4634,572,169,98,29,80758,77772,AGO
100041,3_dose,reduced_coverage,20344,3806,846,184,144,31,231327,221579,AGO
100041,4_dose,reduced_coverage_lower,22327,4574,912,215,156,37,279497,269859,AGO
100041,4_dose,reduced_coverage,22870,4574,947,224,162,38,279497,269859,AGO
100041,4_dose,reduced_coverage_upper,24110,4726,988,224,169,38,279497,269859,AGO
100041,3_dose,full_coverage,35294,9170,1484,416,253,71,231327,221579,AGO
100041,4_dose,full_coverage,43411,12357,1779,490,303,84,279497,269859,AGO
100042,3_dose,reduced_coverage,4145,478,249,29,42,5,113055,108155,AGO
100042,4_dose,reduced_coverage_lower,4546,588,281,34,48,6,136398,131785,AGO
100042,4_dose,reduced_coverage,4712,597,284,38,48,7,136398,131785,AGO
100042,4_dose,reduced_coverage_upper,4879,770,271,46,46,8,136398,131785,AGO
100042,3_dose,full_coverage,7399,1318,427,78,73,13,113055,108155,AGO
100042,4_dose,full_coverage,9028,1777,495,102,84,17,136398,131785,AGO
100043,3_dose,reduced_coverage,6528,-439,428,-28,73,-5,285074,274134,AGO
100043,4_dose,reduced_coverage_lower,7163,-131,476,-4,81,-1,344778,333763,AGO
100043,4_dose,reduced_coverage,6878,-36,478,-5,82,-1,344778,333763,AGO
100043,4_dose,reduced_coverage_upper,7349,-60,492,1,84,0,344778,333763,AGO
100043,3_dose,full_coverage,10584,608,670,38,114,6,285074,274134,AGO
100043,4_dose,full_coverage,11805,460,812,50,138,9,344778,333763,AGO
100044,3_dose,reduced_coverage,8057,-24,568,-11,97,-2,366814,354161,AGO
100044,4_dose,reduced_coverage_lower,8357,5,596,-4,102,-1,443672,430601,AGO
100044,4_dose,reduced_coverage,9061,-105,610,-9,104,-2,443672,430601,AGO
100044,4_dose,reduced_coverage_upper,9136,38,642,-1,109,-0,443672,430601,AGO
100044,3_dose,full_coverage,13078,1161,912,89,156,15,366814,354161,AGO
100044,4_dose,full_coverage,16185,1601,1065,107,182,18,443672,430601,AGO
100045,3_dose,reduced_coverage,17874,-867,1282,-63,219,-11,885280,849480,AGO
100045,4_dose,reduced_coverage_lower,19446,-186,1300,-32,222,-5,1067030,1032894,AGO
100045,4_dose,reduced_coverage,19885,297,1402,0,239,0,1067030,1032894,AGO
100045,4_dose,reduced_coverage_upper,21578,65,1492,19,255,3,1067030,1032894,AGO
100045,3_dose,full_coverage,31418,2386,2151,182,367,31,885280,849480,AGO
100045,4_dose,full_coverage,37361,2609,2518,200,429,34,1067030,1032894,AGO
100046,3_dose,reduced_coverage,8248,1545,425,76,72,13,135369,129547,AGO
100046,4_dose,reduced_coverage_lower,9209,1810,459,97,78,17,163589,157617,AGO
100046,4_dose,reduced_coverage,9889,2133,465,100,79,17,163589,157617,AGO
100046,4_dose,reduced_coverage_upper,10060,2156,463,106,79,18,163589,157617,AGO
100046,3_dose,full_coverage,14234,3689,720,175,123,30,135369,129547,AGO
100046,4_dose,full_coverage,17730,4774,862,212,147,36,163589,157617,AGO
100047,3_dose,reduced_coverage,3288,341,168,21,29,4,66787,64080,AGO
100047,4_dose,reduced_coverage_lower,3464,537,184,31,31,5,80630,77892,AGO
100047,4_dose,reduced_coverage,3778,444,192,30,33,5,80630,77892,AGO
100047,4_dose,reduced_coverage_upper,3923,466,212,31,36,5,80630,77892,AGO
100047,3_dose,full_coverage,5617,983,298,64,51,11,66787,64080,AGO
100047,4_dose,full_coverage,6829,1474,363,84,62,14,80630,77892,AGO
100048,3_dose,reduced_coverage,8735,1739,424,95,72,16,132358,126961,AGO
100048,4_dose,reduced_coverage_lower,9887,1920,462,101,79,17,159794,154523,AGO
100048,4_dose,reduced_coverage,10457,1969,492,101,84,17,159794,154523,AGO
100048,4_dose,reduced_coverage_upper,10797,2249,519,117,88,20,159794,154523,AGO
100048,3_dose,full_coverage,17007,4161,746,200,127,34,132358,126961,AGO
100048,4_dose,full_coverage,19738,5293,897,234,153,40,159794,154523,AGO
100049,3_dose,reduced_coverage,8838,2342,401,100,68,17,99094,95243,AGO
100049,4_dose,reduced_coverage_lower,10369,3002,453,113,77,19,119715,115446,AGO
100049,4_dose,reduced_coverage,10288,2996,451,121,77,21,119715,115446,AGO
100049,4_dose,reduced_coverage_upper,10957,3230,469,127,80,22,119715,115446,AGO
100049,3_dose,full_coverage,16756,5328,723,212,123,36,99094,95243,AGO
100049,4_dose,full_coverage,20332,6662,855,251,146,43,119715,115446,AGO
100050,3_dose,reduced_coverage,825,-99,64,-6,11,-1,57348,55176,AGO
100050,4_dose,reduced_coverage_lower,920,-50,64,-3,11,-1,69286,67056,AGO
100050,4_dose,reduced_coverage,1006,-73,69,-4,12,-1,69286,67056,AGO
100050,4_dose,reduced_coverage_upper,953,-67,70,-4,12,-1,69286,67056,AGO
100050,3_dose,full_coverage,1408,20,94,3,16,0,57348,55176,AGO
100050,4_dose,full_coverage,1712,40,121,4,21,1,69286,67056,AGO
100051,3_dose,reduced_coverage,11769,2215,616,112,105,19,194238,187134,AGO
100051,4_dose,reduced_coverage_lower,13432,2799,698,122,119,21,235204,227667,AGO
100051,4_dose,reduced_coverage,13701,3007,702,137,120,23,235204,227667,AGO
100051,4_dose,reduced_coverage_upper,14004,3163,705,157,120,27,235204,227667,AGO
100051,3_dose,full_coverage,22374,5353,1047,245,179,42,194238,187134,AGO
100051,4_dose,full_coverage,26489,7078,1288,299,220,51,235204,227667,AGO
100052,3_dose,reduced_coverage,4331,726,202,40,34,7,69247,66387,AGO
100052,4_dose,reduced_coverage_lower,4881,869,218,46,37,8,83543,80663,AGO
100052,4_dose,reduced_coverage,5128,1024,234,48,40,8,83543,80663,AGO
100052,4_dose,reduced_coverage_upper,5184,959,234,53,40,9,83543,80663,AGO
100052,3_dose,full_coverage,7676,1732,349,96,60,16,69247,66387,AGO
100052,4_dose,full_coverage,8957,2289,439,116,75,20,83543,80663,AGO
100176,3_dose,reduced_coverage,3468,418,215,30,34,5,64253,61629,BDI
100176,4_dose,reduced_coverage_lower,3938,451,246,35,39,6,77878,75249,BDI
100176,4_dose,reduced_coverage,4099,495,248,43,39,7,77878,75249,BDI
100176,4_dose,reduced_coverage_upper,4215,523,251,40,40,6,77878,75249,BDI
100176,3_dose,full_coverage,4010,303,217,26,35,4,64253,61629,BDI
100176,4_dose,full_coverage,4786,507,273,38,43,6,77878,75249,BDI
100177,3_dose,reduced_coverage,2643,-120,171,-7,27,-1,100478,96456,BDI
100177,4_dose,reduced_coverage_lower,3029,-85,194,-5,31,-1,121658,117393,BDI
100177,4_dose,reduced_coverage,3136,-67,209,-2,33,-0,121658,117393,BDI
100177,4_dose,reduced_coverage_upper,3165,-87,211,-4,34,-1,121658,117393,BDI
100177,3_dose,full_coverage,2971,-86,195,-4,31,-1,100478,96456,BDI
100177,4_dose,full_coverage,3532,-76,232,-3,37,-0,121658,117393,BDI
100178,3_dose,reduced_coverage,2560,90,178,9,28,1,89706,85897,BDI
100178,4_dose,reduced_coverage_lower,2884,103,192,10,30,2,108353,104771,BDI
100178,4_dose,reduced_coverage,3086,91,205,11,33,2,108353,104771,BDI
100178,4_dose,reduced_coverage_upper,3239,139,220,12,35,2,108353,104771,BDI
100178,3_dose,full_coverage,2918,-4,188,4,30,1,89706,85897,BDI
100178,4_dose,full_coverage,3488,52,228,11,36,2,108353,104771,BDI
100179,3_dose,reduced_coverage,2240,31,138,3,22,0,60681,58327,BDI
100179,4_dose,reduced_coverage_lower,2666,83,160,6,25,1,73336,71173,BDI
100179,4_dose,reduced_coverage,2761,119,164,10,26,2,73336,71173,BDI
100179,4_dose,reduced_coverage_upper,2858,97,170,9,27,1,73336,71173,BDI
100179,3_dose,full_coverage,2459,59,148,6,24,1,60681,58327,BDI
100179,4_dose,full_coverage,2980,142,186,13,30,2,73336,71173,BDI
100180,3_dose,reduced_coverage,6987,2241,282,81,45,13,43554,41480,BDI
100180,4_dose,reduced_coverage_lower,7744,2565,308,97,49,15,52661,50448,BDI
100180,4_dose,reduced_coverage,8181,2683,318,99,50,16,52661,50448,BDI
100180,4_dose,reduced_coverage_upper,8549,2783,329,104,52,17,52661,50448,BDI
100180,3_dose,full_coverage,7491,2539,317,92,50,15,43554,41480,BDI
100180,4_dose,full_coverage,9352,3037,372,111,59,18,52661,50448,BDI
100181,3_dose,reduced_coverage,7659,1359,428,82,68,13,87374,84075,BDI
100181,4_dose,reduced_coverage_lower,8258,1513,466,96,74,15,105828,102026,BDI
100181,4_dose,reduced_coverage,8801,1645,469,104,74,17,105828,102026,BDI
100181,4_dose,reduced_coverage_upper,9033,1695,492,105,78,17,105828,102026,BDI
100181,3_dose,full_coverage,8395,1511,438,84,69,13,87374,84075,BDI
100181,4_dose,full_coverage,9938,2008,530,106,84,17,105828,102026,BDI
100182,3_dose,reduced_coverage,9324,1689,499,109,79,17,121015,115617,BDI
100182,4_dose,reduced_coverage_lower,10563,2028,585,121,93,19,146240,140634,BDI
100182,4_dose,reduced_coverage,10754,2286,574,146,91,23,146240,140634,BDI
100182,4_dose,reduced_coverage_upper,11447,2465,597,140,95,22,146240,140634,BDI
100182,3_dose,full_coverage,9697,1835,528,122,84,19,121015,115617,BDI
100182,4_dose,full_coverage,12239,2488,636,154,101,25,146240,140634,BDI
100183,3_dose,reduced_coverage,9824,2604,447,125,71,20,78842,75324,BDI
100183,4_dose,reduced_coverage_lower,11484,3273,512,147,81,23,95447,91773,BDI
100183,4_dose,reduced_coverage,11803,3462,529,149,84,24,95447,91773,BDI
100183,4_dose,reduced_coverage_upper,12124,3621,542,160,86,25,95447,91773,BDI
100183,3_dose,full_coverage,10762,3287,499,141,79,22,78842,75324,BDI
100183,4_dose,full_coverage,13013,4190,578,173,92,27,95447,91773,BDI
100184,3_dose,reduced_coverage,7953,1406,436,84,69,13,105756,101795,BDI
100184,4_dose,reduced_coverage_lower,8822,1712,477,102,76,16,128387,123616,BDI
100184,4_dose,reduced_coverage,9172,1812,510,105,81,17,128387,123616,BDI
100184,4_dose,reduced_coverage_upper,9404,1879,520,110,83,17,128387,123616,BDI
100184,3_dose,full_coverage,8261,1369,463,90,74,14,105756,101795,BDI
