ISO,vaccine_type,vaccine_scenario,clin_cases_averted,sev_cases_averted,deaths_averted,num_vacc_doses
AGO,3_dose,full_coverage,26181,1803,232,3523729
AGO,3_dose,reduced_coverage,13590,926,120,3523729
AGO,3_dose,reduced_coverage_lower,13590,926,120,3523729
AGO,3_dose,reduced_coverage_upper,13590,926,120,3523729
AGO,4_dose,full_coverage,33315,2297,293,4466243
AGO,4_dose,reduced_coverage,16626,1155,149,4466243
AGO,4_dose,reduced_coverage_lower,16683,1140,146,4466243
AGO,4_dose,reduced_coverage_upper,19312,1331,171,4466243
BDI,3_dose,full_coverage,77159,3756,484,1419508
BDI,3_dose,reduced_coverage,71964,3470,448,1419508
BDI,3_dose,reduced_coverage_lower,71964,3470,448,1419508
BDI,3_dose,reduced_coverage_upper,71964,3470,448,1419508
BDI,4_dose,full_coverage,101226,4932,636,1798230
BDI,4_dose,reduced_coverage,89740,4356,562,1798230
BDI,4_dose,reduced_coverage_lower,85779,4161,537,1798230
BDI,4_dose,reduced_coverage_upper,93116,4537,585,1798230
BEN,3_dose,full_coverage,161006,5908,762,1241992
BEN,3_dose,reduced_coverage,135530,4945,636,1241992
BEN,3_dose,reduced_coverage_lower,135530,4945,636,1241992
BEN,3_dose,reduced_coverage_upper,135530,4945,636,1241992
BEN,4_dose,full_coverage,211095,7601,981,1580612
BEN,4_dose,reduced_coverage,165658,6003,775,1580612
BEN,4_dose,reduced_coverage_lower,158973,5723,737,1580612
BEN,4_dose,reduced_coverage_upper,174873,6328,816,1580612
BFA,3_dose,full_coverage,609763,14445,1864,2454782
BFA,3_dose,reduced_coverage,542638,12866,1659,2454782
BFA,3_dose,reduced_coverage_lower,542638,12866,1659,2454782
BFA,3_dose,reduced_coverage_upper,542638,12866,1659,2454782
BFA,4_dose,full_coverage,793490,18605,2398,3114669
BFA,4_dose,reduced_coverage,681318,16038,2069,3114669
BFA,4_dose,reduced_coverage_lower,654122,15441,1991,3114669
BFA,4_dose,reduced_coverage_upper,716251,16790,2168,3114669
CAF,3_dose,full_coverage,92087,2686,347,484481
CAF,3_dose,reduced_coverage,43277,1278,165,484481
CAF,3_dose,reduced_coverage_lower,43277,1278,165,484481
CAF,3_dose,reduced_coverage_upper,43277,1278,165,484481
CAF,4_dose,full_coverage,119653,3462,447,615527
CAF,4_dose,reduced_coverage,55020,1601,208,615527
CAF,4_dose,reduced_coverage_lower,50781,1498,193,615527
CAF,4_dose,reduced_coverage_upper,57014,1656,215,615527
CIV,3_dose,full_coverage,366873,11853,1530,2615417
CIV,3_dose,reduced_coverage,307671,10063,1297,2615417
CIV,3_dose,reduced_coverage_lower,307671,10063,1297,2615417
CIV,3_dose,reduced_coverage_upper,307671,10063,1297,2615417
CIV,4_dose,full_coverage,480782,15493,1999,3321101
CIV,4_dose,reduced_coverage,381389,12314,1588,3321101
CIV,4_dose,reduced_coverage_lower,359436,11617,1497,3321101
CIV,4_dose,reduced_coverage_upper,400007,12955,1671,3321101
CMR,3_dose,full_coverage,94600,5073,656,2751873
CMR,3_dose,reduced_coverage,79088,4294,553,2751873
CMR,3_dose,reduced_coverage_lower,79088,4294,553,2751873
CMR,3_dose,reduced_coverage_upper,79088,4294,553,2751873
CMR,4_dose,full_coverage,123424,6685,863,3494240
CMR,4_dose,reduced_coverage,103139,5544,716,3494240
CMR,4_dose,reduced_coverage_lower,97392,5260,679,3494240
CMR,4_dose,reduced_coverage_upper,102373,5549,717,3494240
COD,3_dose,full_coverage,1611350,50454,6506,10331084
COD,3_dose,reduced_coverage,1289623,40520,5227,10331084
COD,3_dose,reduced_coverage_lower,1289623,40520,5227,10331084
COD,3_dose,reduced_coverage_upper,1289623,40520,5227,10331084
COD,4_dose,full_coverage,2125162,65266,8419,13068553
COD,4_dose,reduced_coverage,1623404,50053,6459,13068553
COD,4_dose,reduced_coverage_lower,1573291,48611,6269,13068553
COD,4_dose,reduced_coverage_upper,1694258,52253,6739,13068553
COG,3_dose,full_coverage,28547,1555,200,572298
COG,3_dose,reduced_coverage,19180,1037,133,572298
COG,3_dose,reduced_coverage_lower,19180,1037,133,572298
COG,3_dose,reduced_coverage_upper,19180,1037,133,572298
COG,4_dose,full_coverage,37636,2047,264,727585
COG,4_dose,reduced_coverage,25415,1381,178,727585
COG,4_dose,reduced_coverage_lower,24170,1305,168,727585
COG,4_dose,reduced_coverage_upper,26413,1437,187,727585
GAB,3_dose,full_coverage,63,4,0,156243
GAB,3_dose,reduced_coverage,44,2,0,156243
GAB,3_dose,reduced_coverage_lower,44,2,0,156243
GAB,3_dose,reduced_coverage_upper,44,2,0,156243
GAB,4_dose,full_coverage,84,6,0,198717
GAB,4_dose,reduced_coverage,56,4,0,198717
GAB,4_dose,reduced_coverage_lower,44,2,0,198717
GAB,4_dose,reduced_coverage_upper,55,3,0,198717
GHA,3_dose,full_coverage,687845,14066,1816,2385760
GHA,3_dose,reduced_coverage,681316,13752,1773,2385760
GHA,3_dose,reduced_coverage_lower,681316,13752,1773,2385760
GHA,3_dose,reduced_coverage_upper,681316,13752,1773,2385760
GHA,4_dose,full_coverage,917589,17946,2315,3039924
GHA,4_dose,reduced_coverage,852654,16665,2150,3039924
GHA,4_dose,reduced_coverage_lower,819457,16274,2099,3039924
GHA,4_dose,reduced_coverage_upper,891037,17599,2271,3039924
GIN,3_dose,full_coverage,411821,7983,1031,1426548
GIN,3_dose,reduced_coverage,189461,3731,481,1426548
GIN,3_dose,reduced_coverage_lower,189461,3731,481,1426548
GIN,3_dose,reduced_coverage_upper,189461,3731,481,1426548
GIN,4_dose,full_coverage,551114,10301,1329,1806212
GIN,4_dose,reduced_coverage,233708,4389,567,1806212
GIN,4_dose,reduced_coverage_lower,225386,4200,541,1806212
GIN,4_dose,reduced_coverage_upper,252146,4704,605,1806212
GNQ,3_dose,full_coverage,6856,275,35,63144
GNQ,3_dose,reduced_coverage,1956,84,11,63144
GNQ,3_dose,reduced_coverage_lower,1956,84,11,63144
GNQ,3_dose,reduced_coverage_upper,1956,84,11,63144
GNQ,4_dose,full_coverage,9045,364,47,80359
GNQ,4_dose,reduced_coverage,2043,84,11,80359
GNQ,4_dose,reduced_coverage_lower,1772,72,9,80359
GNQ,4_dose,reduced_coverage_upper,2075,86,11,80359
KEN,3_dose,full_coverage,125372,5932,766,4137298
KEN,3_dose,reduced_coverage,101221,4788,618,4137298
KEN,3_dose,reduced_coverage_lower,101221,4788,618,4137298
KEN,3_dose,reduced_coverage_upper,101221,4788,618,4137298
KEN,4_dose,full_coverage,166627,7810,1011,5264984
KEN,4_dose,reduced_coverage,130762,6150,796,5264984
KEN,4_dose,reduced_coverage_lower,123533,5823,754,5264984
KEN,4_dose,reduced_coverage_upper,137464,6402,829,5264984
LBR,3_dose,full_coverage,51479,2047,263,504755
LBR,3_dose,reduced_coverage,45882,1830,236,504755
LBR,3_dose,reduced_coverage_lower,45882,1830,236,504755
LBR,3_dose,reduced_coverage_upper,45882,1830,236,504755
LBR,4_dose,full_coverage,68969,2739,353,640154
LBR,4_dose,reduced_coverage,56557,2265,294,640154
LBR,4_dose,reduced_coverage_lower,54218,2158,279,640154
LBR,4_dose,reduced_coverage_upper,60196,2396,311,640154
MLI,3_dose,full_coverage,510939,14943,1928,3008440
MLI,3_dose,reduced_coverage,341079,10017,1292,3008440
MLI,3_dose,reduced_coverage_lower,341079,10017,1292,3008440
MLI,3_dose,reduced_coverage_upper,341079,10017,1292,3008440
MLI,4_dose,full_coverage,671311,19596,2528,3792987
MLI,4_dose,reduced_coverage,424906,12316,1590,3792987
MLI,4_dose,reduced_coverage_lower,393117,11556,1491,3792987
MLI,4_dose,reduced_coverage_upper,436585,12692,1638,3792987
MOZ,3_dose,full_coverage,806763,19431,2506,3600209
MOZ,3_dose,reduced_coverage,666514,15813,2041,3600209
MOZ,3_dose,reduced_coverage_lower,666514,15813,2041,3600209
MOZ,3_dose,reduced_coverage_upper,666514,15813,2041,3600209
MOZ,4_dose,full_coverage,1061681,24862,3207,4574364
MOZ,4_dose,reduced_coverage,807110,19212,2480,4574364
MOZ,4_dose,reduced_coverage_lower,791049,18578,2396,4574364
MOZ,4_dose,reduced_coverage_upper,869634,20021,2582,4574364
MWI,3_dose,full_coverage,265716,10662,1375,2342794
MWI,3_dose,reduced_coverage,234449,9428,1215,2342794
MWI,3_dose,reduced_coverage_lower,234449,9428,1215,2342794
MWI,3_dose,reduced_coverage_upper,234449,9428,1215,2342794
MWI,4_dose,full_coverage,359089,14265,1840,2968068
MWI,4_dose,reduced_coverage,298733,11850,1525,2968068
MWI,4_dose,reduced_coverage_lower,283490,11313,1460,2968068
MWI,4_dose,reduced_coverage_upper,311866,12448,1607,2968068
NAM,3_dose,full_coverage,0,0,0,18880
NAM,3_dose,reduced_coverage,0,0,0,18880
NAM,3_dose,reduced_coverage_lower,0,0,0,18880
NAM,3_dose,reduced_coverage_upper,0,0,0,18880
NAM,4_dose,full_coverage,0,0,0,24104
NAM,4_dose,reduced_coverage,0,0,0,24104
NAM,4_dose,reduced_coverage_lower,0,0,0,24104
NAM,4_dose,reduced_coverage_upper,0,0,0,24104
NER,3_dose,full_coverage,406965,16931,2186,4126312
NER,3_dose,reduced_coverage,329064,13503,1743,4126312
NER,3_dose,reduced_coverage_lower,329064,13503,1743,4126312
NER,3_dose,reduced_coverage_upper,329064,13503,1743,4126312
NER,4_dose,full_coverage,517908,21374,2758,5221843
NER,4_dose,reduced_coverage,396240,16275,2098,5221843
NER,4_dose,reduced_coverage_lower,377687,15366,1981,5221843
NER,4_dose,reduced_coverage_upper,410221,16792,2167,5221843
NGA,3_dose,full_coverage,3298806,102071,13169,25812349
NGA,3_dose,reduced_coverage,1404017,43298,5588,25812349
NGA,3_dose,reduced_coverage_lower,1404017,43298,5588,25812349
NGA,3_dose,reduced_coverage_upper,1404017,43298,5588,25812349
NGA,4_dose,full_coverage,4317962,132006,17031,32755133
NGA,4_dose,reduced_coverage,1731032,53147,6856,32755133
NGA,4_dose,reduced_coverage_lower,1657352,51418,6635,32755133
NGA,4_dose,reduced_coverage_upper,1847320,56701,7315,32755133
SLE,3_dose,full_coverage,173706,3910,504,637457
SLE,3_dose,reduced_coverage,155130,3562,459,637457
SLE,3_dose,reduced_coverage_lower,155130,3562,459,637457
